x, 	 y 
0, 	-0.78734
0.010101, 	-0.776222
0.020202, 	-0.762998
0.030303, 	-0.747579
0.040404, 	-0.7299
0.0505051, 	-0.709927
0.0606061, 	-0.687655
0.0707071, 	-0.663116
0.0808081, 	-0.636373
0.0909091, 	-0.607527
0.10101, 	-0.576707
0.111111, 	-0.544074
0.121212, 	-0.509813
0.131313, 	-0.474129
0.141414, 	-0.437241
0.151515, 	-0.399378
0.161616, 	-0.360771
0.171717, 	-0.321649
0.181818, 	-0.282234
0.191919, 	-0.242735
0.20202, 	-0.203347
0.212121, 	-0.164247
0.222222, 	-0.125592
0.232323, 	-0.0875188
0.242424, 	-0.0501449
0.252525, 	-0.0135662
0.262626, 	0.0221398
0.272727, 	0.0569139
0.282828, 	0.0907133
0.292929, 	0.12351
0.30303, 	0.155288
0.313131, 	0.186045
0.323232, 	0.215787
0.333333, 	0.244526
0.343434, 	0.272284
0.353535, 	0.299086
0.363636, 	0.324963
0.373737, 	0.349947
0.383838, 	0.374073
0.393939, 	0.397378
0.40404, 	0.4199
0.414141, 	0.441675
0.424242, 	0.462742
0.434343, 	0.483137
0.444444, 	0.502895
0.454545, 	0.522053
0.464646, 	0.540644
0.474747, 	0.5587
0.484848, 	0.576252
0.494949, 	0.593331
0.505051, 	0.609964
0.515152, 	0.626179
0.525253, 	0.642
0.535354, 	0.657452
0.545455, 	0.672557
0.555556, 	0.687337
0.565657, 	0.701812
0.575758, 	0.716001
0.585859, 	0.729922
0.59596, 	0.74359
0.606061, 	0.757023
0.616162, 	0.770234
0.626263, 	0.783237
0.636364, 	0.796046
0.646465, 	0.808672
0.656566, 	0.821126
0.666667, 	0.83342
0.676768, 	0.845563
0.686869, 	0.857564
0.69697, 	0.869432
0.707071, 	0.881175
0.717172, 	0.892801
0.727273, 	0.904317
0.737374, 	0.915729
0.747475, 	0.927045
0.757576, 	0.938269
0.767677, 	0.949407
0.777778, 	0.960465
0.787879, 	0.971447
0.79798, 	0.982357
0.808081, 	0.993201
0.818182, 	1.00398
0.828283, 	1.0147
0.838384, 	1.02537
0.848485, 	1.03598
0.858586, 	1.04655
0.868687, 	1.05706
0.878788, 	1.06754
0.888889, 	1.07797
0.89899, 	1.08836
0.909091, 	1.09872
0.919192, 	1.10904
0.929293, 	1.11933
0.939394, 	1.12959
0.949495, 	1.13982
0.959596, 	1.15003
0.969697, 	1.16021
0.979798, 	1.17036
0.989899, 	1.18049
1, 	1.19061
