dt, snp, Rnp
 0,  0, -0.5
17241,  0, -0.61494
34483,  0, -0.72989
51724,  0, -0.84483
68966,  0, -0.95977
86207,  0, -1.0747
1.0345e+05,  0, -1.1897
1.2069e+05,  0, -1.3046
1.3793e+05,  0, -1.4195
1.5517e+05,  0, -1.5345
1.7241e+05,  0, -1.6494
1.8966e+05,  0, -1.7644
2.069e+05,  0, -1.8793
2.2414e+05,  0, -1.9943
2.4138e+05,  0, -2.1092
2.5862e+05,  0, -2.2241
2.7586e+05,  0, -2.3391
2.931e+05,  0, -2.454
3.1034e+05,  0, -2.569
3.2759e+05,  0, -2.6839
3.4483e+05,  0, -2.7989
3.6207e+05,  0, -2.9138
3.7931e+05,  0, -3.0287
3.9655e+05,  0, -3.1437
4.1379e+05,  0, -3.2586
4.3103e+05,  0, -3.3736
4.4828e+05,  0, -3.4885
4.6552e+05,  0, -3.6034
4.8276e+05,  0, -3.7184
5e+05,  0, -3.8333

 0, 0.034483, -0.46552
17241, 0.034483, -0.57733
34483, 0.034483, -0.68915
51724, 0.034483, -0.80097
68966, 0.034483, -0.91278
86207, 0.034483, -1.0246
1.0345e+05, 0.034483, -1.1364
1.2069e+05, 0.034483, -1.2482
1.3793e+05, 0.034483, -1.36
1.5517e+05, 0.034483, -1.4719
1.7241e+05, 0.034483, -1.5837
1.8966e+05, 0.034483, -1.6955
2.069e+05, 0.034483, -1.8073
2.2414e+05, 0.034483, -1.9191
2.4138e+05, 0.034483, -2.0309
2.5862e+05, 0.034483, -2.1428
2.7586e+05, 0.034483, -2.2546
2.931e+05, 0.034483, -2.3664
3.1034e+05, 0.034483, -2.4782
3.2759e+05, 0.034483, -2.59
3.4483e+05, 0.034483, -2.7018
3.6207e+05, 0.034483, -2.8137
3.7931e+05, 0.034483, -2.9255
3.9655e+05, 0.034483, -3.0373
4.1379e+05, 0.034483, -3.1491
4.3103e+05, 0.034483, -3.2609
4.4828e+05, 0.034483, -3.3727
4.6552e+05, 0.034483, -3.4846
4.8276e+05, 0.034483, -3.5964
5e+05, 0.034483, -3.7082

 0, 0.068966, -0.43103
17241, 0.068966, -0.53879
34483, 0.068966, -0.64654
51724, 0.068966, -0.75429
68966, 0.068966, -0.86205
86207, 0.068966, -0.9698
1.0345e+05, 0.068966, -1.0776
1.2069e+05, 0.068966, -1.1853
1.3793e+05, 0.068966, -1.2931
1.5517e+05, 0.068966, -1.4008
1.7241e+05, 0.068966, -1.5086
1.8966e+05, 0.068966, -1.6163
2.069e+05, 0.068966, -1.7241
2.2414e+05, 0.068966, -1.8318
2.4138e+05, 0.068966, -1.9396
2.5862e+05, 0.068966, -2.0473
2.7586e+05, 0.068966, -2.1551
2.931e+05, 0.068966, -2.2628
3.1034e+05, 0.068966, -2.3706
3.2759e+05, 0.068966, -2.4783
3.4483e+05, 0.068966, -2.5861
3.6207e+05, 0.068966, -2.6939
3.7931e+05, 0.068966, -2.8016
3.9655e+05, 0.068966, -2.9094
4.1379e+05, 0.068966, -3.0171
4.3103e+05, 0.068966, -3.1249
4.4828e+05, 0.068966, -3.2326
4.6552e+05, 0.068966, -3.3404
4.8276e+05, 0.068966, -3.4481
5e+05, 0.068966, -3.5559

 0, 0.10345, -0.39655
17241, 0.10345, -0.4994
34483, 0.10345, -0.60225
51724, 0.10345, -0.7051
68966, 0.10345, -0.80795
86207, 0.10345, -0.9108
1.0345e+05, 0.10345, -1.0137
1.2069e+05, 0.10345, -1.1165
1.3793e+05, 0.10345, -1.2194
1.5517e+05, 0.10345, -1.3222
1.7241e+05, 0.10345, -1.4251
1.8966e+05, 0.10345, -1.5279
2.069e+05, 0.10345, -1.6308
2.2414e+05, 0.10345, -1.7336
2.4138e+05, 0.10345, -1.8364
2.5862e+05, 0.10345, -1.9393
2.7586e+05, 0.10345, -2.0421
2.931e+05, 0.10345, -2.145
3.1034e+05, 0.10345, -2.2478
3.2759e+05, 0.10345, -2.3507
3.4483e+05, 0.10345, -2.4535
3.6207e+05, 0.10345, -2.5564
3.7931e+05, 0.10345, -2.6592
3.9655e+05, 0.10345, -2.7621
4.1379e+05, 0.10345, -2.8649
4.3103e+05, 0.10345, -2.9678
4.4828e+05, 0.10345, -3.0706
4.6552e+05, 0.10345, -3.1735
4.8276e+05, 0.10345, -3.2763
5e+05, 0.10345, -3.3792

 0, 0.13793, -0.36207
17241, 0.13793, -0.45932
34483, 0.13793, -0.55656
51724, 0.13793, -0.65381
68966, 0.13793, -0.75106
86207, 0.13793, -0.8483
1.0345e+05, 0.13793, -0.94555
1.2069e+05, 0.13793, -1.0428
1.3793e+05, 0.13793, -1.14
1.5517e+05, 0.13793, -1.2373
1.7241e+05, 0.13793, -1.3345
1.8966e+05, 0.13793, -1.4318
2.069e+05, 0.13793, -1.529
2.2414e+05, 0.13793, -1.6263
2.4138e+05, 0.13793, -1.7235
2.5862e+05, 0.13793, -1.8208
2.7586e+05, 0.13793, -1.918
2.931e+05, 0.13793, -2.0153
3.1034e+05, 0.13793, -2.1125
3.2759e+05, 0.13793, -2.2098
3.4483e+05, 0.13793, -2.307
3.6207e+05, 0.13793, -2.4043
3.7931e+05, 0.13793, -2.5015
3.9655e+05, 0.13793, -2.5988
4.1379e+05, 0.13793, -2.696
4.3103e+05, 0.13793, -2.7932
