s,Rs
0,  0
0.0050251, 0.0051539
0.01005, 0.010566
0.015075, 0.016235
0.020101, 0.022162
0.025126, 0.028346
0.030151, 0.034788
0.035176, 0.041487
0.040201, 0.048443
0.045226, 0.055654
0.050251, 0.063121
0.055276, 0.070843
0.060302, 0.078818
0.065327, 0.087047
0.070352, 0.095527
0.075377, 0.10426
0.080402, 0.11324
0.085427, 0.12247
0.090452, 0.13194
0.095477, 0.14166
0.1005, 0.15162
0.10553, 0.16182
0.11055, 0.17225
0.11558, 0.18293
0.1206, 0.19383
0.12563, 0.20497
0.13065, 0.21633
0.13568, 0.22791
0.1407, 0.23972
0.14573, 0.25174
0.15075, 0.26397
0.15578, 0.27641
0.1608, 0.28906
0.16583, 0.3019
0.17085, 0.31494
0.17588, 0.32817
0.1809, 0.34158
0.18593, 0.35517
0.19095, 0.36893
0.19598, 0.38286
0.20101, 0.39695
0.20603, 0.41119
0.21106, 0.42558
0.21608, 0.44011
0.22111, 0.45477
0.22613, 0.46956
0.23116, 0.48446
0.23618, 0.49948
0.24121, 0.51459
0.24623, 0.52979
0.25126, 0.54508
0.25628, 0.56044
0.26131, 0.57586
0.26633, 0.59134
0.27136, 0.60687
0.27638, 0.62242
0.28141, 0.63801
0.28643, 0.6536
0.29146, 0.6692
0.29648, 0.68479
0.30151, 0.70036
0.30653, 0.7159
0.31156, 0.73139
0.31658, 0.74684
0.32161, 0.76222
0.32663, 0.77752
0.33166, 0.79273
0.33668, 0.80784
0.34171, 0.82284
0.34673, 0.83771
0.35176, 0.85245
0.35678, 0.86703
0.36181, 0.88146
0.36683, 0.89571
0.37186, 0.90978
0.37688, 0.92365
0.38191, 0.93732
0.38693, 0.95076
0.39196, 0.96398
0.39698, 0.97695
0.40201, 0.98201
0.40704, 0.98704
0.41206, 0.99206
0.41709, 0.99709
0.42211, 1.0021
0.42714, 1.0071
0.43216, 1.0122
0.43719, 1.0172
0.44221, 1.0222
0.44724, 1.0272
0.45226, 1.0323
0.45729, 1.0373
0.46231, 1.0423
0.46734, 1.0473
0.47236, 1.0524
0.47739, 1.0574
0.48241, 1.0624
0.48744, 1.0674
0.49246, 1.0725
0.49749, 1.0775
0.50251, 1.0825
0.50754, 1.0875
0.51256, 1.0926
0.51759, 1.0976
0.52261, 1.1026
0.52764, 1.1076
0.53266, 1.1127
0.53769, 1.1177
0.54271, 1.1227
0.54774, 1.1277
0.55276, 1.1328
0.55779, 1.1378
0.56281, 1.1428
0.56784, 1.1478
0.57286, 1.1529
0.57789, 1.1579
0.58291, 1.1629
0.58794, 1.1679
0.59296, 1.173
0.59799, 1.178
0.60302, 1.183
0.60804, 1.188
0.61307, 1.1931
0.61809, 1.1981
0.62312, 1.2031
0.62814, 1.2081
0.63317, 1.2132
0.63819, 1.2182
0.64322, 1.2232
0.64824, 1.2282
0.65327, 1.2333
0.65829, 1.2383
0.66332, 1.2433
0.66834, 1.2483
0.67337, 1.2534
0.67839, 1.2584
0.68342, 1.2634
0.68844, 1.2684
0.69347, 1.2735
0.69849, 1.2785
0.70352, 1.2835
0.70854, 1.2885
0.71357, 1.2936
0.71859, 1.2986
0.72362, 1.3036
0.72864, 1.3086
0.73367, 1.3137
0.73869, 1.3187
0.74372, 1.3237
0.74874, 1.3287
0.75377, 1.3338
0.75879, 1.3388
0.76382, 1.3438
0.76884, 1.3488
0.77387, 1.3539
0.77889, 1.3589
0.78392, 1.3639
0.78894, 1.3689
0.79397, 1.374
0.79899, 1.379
0.80402, 1.384
0.80905, 1.389
0.81407, 1.3941
0.8191, 1.3991
0.82412, 1.4041
0.82915, 1.4091
0.83417, 1.4142
0.8392, 1.4192
0.84422, 1.4242
0.84925, 1.4292
0.85427, 1.4343
0.8593, 1.4393
0.86432, 1.4443
0.86935, 1.4493
0.87437, 1.4544
0.8794, 1.4594
0.88442, 1.4644
0.88945, 1.4694
0.89447, 1.4745
0.8995, 1.4795
0.90452, 1.4845
0.90955, 1.4895
0.91457, 1.4946
0.9196, 1.4996
0.92462, 1.5046
0.92965, 1.5096
0.93467, 1.5147
0.9397, 1.5197
0.94472, 1.5247
0.94975, 1.5297
0.95477, 1.5348
0.9598, 1.5398
0.96482, 1.5448
0.96985, 1.5498
0.97487, 1.5549
0.9799, 1.5599
0.98492, 1.5649
0.98995, 1.5699
0.99497, 1.575
1,  1.58
