s, 	 Rs, 	 dRs
0, 	-2.9999999999999995559, 	1
0.010101010101010101869, 	-2.9898771242374495571, 	1.0043735330074063938
0.020202020202020203737, 	-2.9797087073682817504, 	1.009019813282096889
0.030303030303030303871, 	-2.9694919115971747381, 	1.0139554040848630656
0.040404040404040407475, 	-2.959223726418461986, 	1.0191979510780440066
0.050505050505050504139, 	-2.9489009573017037624, 	1.0247662586947505758
0.060606060606060607743, 	-2.9385202135774215471, 	1.030680372207007478
0.070707070707070704407, 	-2.9280778954632702415, 	1.0369616659250056045
0.08080808080808081495, 	-2.9175701801664102319, 	1.0436329379901987391
0.090909090909090911614, 	-2.9069930069930070005, 	1.050718512256973769
0.10101010101010100828, 	-2.8963420613906052381, 	1.0582443477909591056
0.11111111111111110494, 	-2.8856127578436465697, 	1.066238156546542637
0.12121212121212121549, 	-2.8748002215365140444, 	1.0747295298215953085
0.13131313131313132603, 	-2.8638992686922648545, 	1.0837500741234207258
0.14141414141414140881, 	-2.8529043854886548814, 	1.0933335571161124644
0.15151515151515151936, 	-2.8418097054460691453, 	1.1035160643552250903
0.1616161616161616299, 	-2.8306089851746865094, 	1.1143361675501892716
0.17171717171717171269, 	-2.8192955783605722075, 	1.1258351051272654786
0.18181818181818182323, 	-2.8078624078624079274, 	1.1380569758948135828
0.19191919191919190602, 	-2.7963019357823668543, 	1.1510489466367272993
0.20202020202020201656, 	-2.784606131366201609, 	1.1648614744771361718
0.2121212121212121271, 	-2.7727664365790376522, 	1.1795485448675622209
0.22222222222222220989, 	-2.7607737291947813674, 	1.1951679260436982588
0.23232323232323232043, 	-2.7486182832285868116, 	1.2117814407793099374
0.24242424242424243097, 	-2.7362897265336290076, 	1.2294552562250360417
0.25252525252525254151, 	-2.7237769953758039776, 	1.2482601925547975874
0.26262626262626265206, 	-2.7110682857931127643, 	1.2682720510455927077
0.27272727272727270709, 	-2.6981510015408320946, 	1.289571962079862022
0.28282828282828281763, 	-2.68501169841951981, 	1.3122467533738668699
0.29292929292929292817, 	-2.6716360247810255757, 	1.3363893384892449046
0.30303030303030303871, 	-2.6580086580086579318, 	1.3620991253644314511
0.31313131313131314926, 	-2.6441132367722905983, 	1.3894824441915871738
0.3232323232323232598, 	-2.6299322888685607857, 	1.4186529934435661016
0.33333333333333331483, 	-2.6154471544715445219, 	1.4497323022010706328
0.34343434343434342537, 	-2.6006379046419589862, 	1.4828502061150414804
0.35353535353535353591, 	-2.585483254974780376, 	1.5181453333310668263
0.36363636363636364646, 	-2.5699604743083002134, 	1.5557655954631379736
0.373737373737373757, 	-2.5540452884746884799, 	1.5958686771888959122
0.38383838383838381203, 	-2.5377117791460421792, 	1.638622516195888057
0.39393939393939392257, 	-2.5209322779243619195, 	1.6842057629785365247
0.40404040404040403311, 	-2.5036772559431166307, 	1.7328082073000423691
0.41414141414141414366, 	-2.4859152093969907327, 	1.784631154914479767
0.4242424242424242542, 	-2.4676125416009804248, 	1.8398877343045205723
0.43434343434343436474, 	-2.4487334424068443184, 	1.898803108632629133
0.44444444444444441977, 	-2.4292397660818711991, 	1.9616145627225953785
0.45454545454545453032, 	-2.4090909090909091717, 	2.0285714285714284699
0.46464646464646464086, 	-2.3882436896275205385, 	2.0999348055225928178
0.4747474747474747514, 	-2.3666522312253790439, 	2.1759770226954198158
0.48484848484848486194, 	-2.3442678533587621992, 	2.2569807814563058734
0.49494949494949497248, 	-2.3210389726246809516, 	2.3432379045495137504
0.50505050505050508303, 	-2.2969110189027199809, 	2.4350476059296504161
