s, 	 Rs, 	 dRs
0, 	-0.9000000000000000222, 	1
0.010101010101010101869, 	-0.88984901124404047756, 	1.0099966468740715353
0.020202020202020203737, 	-0.87959392853009876756, 	1.0206167160733643495
0.030303030303030303871, 	-0.86922826546886700072, 	1.0318980664796870705
0.040404040404040407475, 	-0.85874514090453646364, 	1.0438810310355293165
0.050505050505050504139, 	-0.84813725305324560999, 	1.0566085913022871257
0.060606060606060607743, 	-0.83739685181332779162, 	1.0701265650445883626
0.070707070707070704407, 	-0.82651570911085137094, 	1.0844838078285841121
0.08080808080808081495, 	-0.81548508713361389511, 	1.0997324296918828956
0.090909090909090911614, 	-0.80429570429570429457, 	1.1159280280159400434
0.10101010101010100828, 	-0.79293769876294151189, 	1.1331299378079067175
0.11111111111111110494, 	-0.78140058935690770436, 	1.1514015006778117733
0.12121212121212121549, 	-0.76967323364190209922, 	1.1708103538779321973
0.13131313131313132603, 	-0.75774378298491662509, 	1.1914287408535331192
0.14141414141414140881, 	-0.74559963436367926448, 	1.2133338448368287121
0.15151515151515151936, 	-0.7332273786819242245, 	1.2366081470976575396
0.1616161616161616299, 	-0.72061274533434882539, 	1.2613398115432898905
0.17171717171717171269, 	-0.70774054274624398353, 	1.2876230974337496971
0.18181818181818182323, 	-0.69459459459459471642, 	1.3155588020452886333
0.19191919191919190602, 	-0.68115767139865590618, 	1.3452547351696626521
0.20202020202020201656, 	-0.66741141714872020962, 	1.3768262273763114401
0.2121212121212121271, 	-0.65333627062221566462, 	1.4103966739829993937
0.22222222222222220989, 	-0.63891138101664424198, 	1.4460981166713107182
0.23232323232323232043, 	-0.62411451750949764605, 	1.4840718646384227775
0.24242424242424243097, 	-0.60892197233660649847, 	1.5244691570857968888
0.25252525252525254151, 	-0.59330845696287604074, 	1.567451868696680517
0.26262626262626265206, 	-0.57724699090373776666, 	1.6131932595327835855
0.27272727272727270709, 	-0.56070878274268109998, 	1.6618787704682560502
0.28282828282828281763, 	-0.54366310288098007586, 	1.7137068648545530358
0.29292929292929292817, 	-0.52607714755143586416, 	1.7688899165468456864
0.30303030303030303871, 	-0.50791589363017930481, 	1.8276551436901291581
0.31313131313131314926, 	-0.48914194379120967682, 	1.8902455867236280795
0.3232323232323232598, 	-0.46971536156969795339, 	1.956921127871008359
0.33333333333333331483, 	-0.44959349593495934183, 	2.0279595478881615733
0.34343434343434342537, 	-0.42873079502577737809, 	2.10365761397723805
0.35353535353535353591, 	-0.40707860877352408657, 	2.1843321904710100156
0.36363636363636364646, 	-0.38458498023715415037, 	2.2703213610586017168
0.373737373737373757, 	-0.36119442560448355994, 	2.3619855478603337673
0.38383838383838381203, 	-0.3368477029831612457, 	2.4597086084477441936
0.39393939393939392257, 	-0.31148157032062057104, 	2.5638988868080838657
0.40404040404040403311, 	-0.28502853306478692641, 	2.6749901881143829385
0.41414141414141414366, 	-0.25741658251779714339, 	2.7934426398045255624
0.4242424242424242542, 	-0.22856892625678748576, 	2.9197433926960476569
0.43434343434343436474, 	-0.19840371251434513189, 	3.0544071054460100179
0.44444444444444441977, 	-0.16683375104427744517, 	3.197976143365933055
0.45454545454545453032, 	-0.13376623376623381079, 	3.3510204081632655182
0.46464646464646464086, 	-0.099102459408358933857, 	3.5141366983373552024
0.4747474747474747514, 	-0.062737567476191191673, 	3.6879474804466747528
0.48484848484848486194, 	-0.024560288196651791637, 	3.8730989290429858052
0.49494949494949497248, 	0.015547283351378171634, 	4.0702580675417472378
0.50505050505050508303, 	0.057709878871704645142, 	4.280108813553487046
0.51515151515151513806, 	0.10205920205920182564, 	4.5033467002578966287
0.52525252525252530411, 	0.14873401270916819517, 	4.7406720104808259819
0.53535353535353535914, 	0.19788013220780542589, 	4.9927810227418003564
0.54545454545454541417, 	0.24965034965034937908, 	5.2603550295857983699
0.55555555555555558023, 	0.30420420420420413166, 	5.5440467494521543657
0.56565656565656563526, 	0.36170761531900863517, 	5.8444637163415915637
0.57575757575757580131, 	0.42233232801953213276, 	6.1621481997259737184
