s, 	 Rs, 	 dRs
0, 	-0.80000000000000004441, 	1
0.010101010101010101869, 	-0.78989586623305552138, 	1.0006247904296294848
0.020202020202020203737, 	-0.77978522659373727954, 	1.0012885447545851747
0.030303030303030303871, 	-0.76966767568271332589, 	1.0019936291549804697
0.040404040404040407475, 	-0.75954278342774572685, 	1.0027425644397205406
0.050505050505050504139, 	-0.74941009346734299701, 	1.003538036956392876
0.060606060606060607743, 	-0.73926912142015122065, 	1.0043829103152868143
0.070707070707070704407, 	-0.7291193530315493998, 	1.0052802379892864515
0.08080808080808081495, 	-0.71896024218827503383, 	1.0062332768557427087
0.090909090909090911614, 	-0.70879120879120871557, 	1.0072455017509962527
0.10101010101010100828, 	-0.69861163647571422608, 	1.0083206211129942531
0.11111111111111110494, 	-0.68842087016814001998, 	1.0094625937923631387
0.12121212121212121549, 	-0.67821821346625521532, 	1.0106756471173707901
0.13131313131313132603, 	-0.66800292583049669659, 	1.0119642963033457228
0.14141414141414140881, 	-0.65777421957197235169, 	1.0133333653023017806
0.15151515151515151936, 	-0.64753125662216581837, 	1.0147880091936036795
0.1616161616161616299, 	-0.63727314506824528362, 	1.0163337382214556737
0.17171717171717171269, 	-0.6269989354367917489, 	1.0179764435896092589
0.18181818181818182323, 	-0.61670761670761664597, 	1.0197224251278305118
0.19191919191919190602, 	-0.60639811203817362006, 	1.0215784209481038047
0.20202020202020201656, 	-0.59606927417785571244, 	1.0235516392110195483
0.2121212121212121271, 	-0.5857198805502521477, 	1.025649792123937365
0.22222222222222220989, 	-0.57534862798020691699, 	1.0278811322919569893
0.23232323232323232043, 	-0.56495412704131331427, 	1.0302544915399014513
0.24242424242424243097, 	-0.55453489599831062851, 	1.0327793223178622917
0.25252525252525254151, 	-0.54408935431775551361, 	1.035465741793542449
0.26262626262626265206, 	-0.53361581571936245183, 	1.0383245787207988631
0.27272727272727270709, 	-0.52311248073959948357, 	1.0413674231542660031
0.28282828282828281763, 	-0.51257742877854606256, 	1.044606679053409648
0.29292929292929292817, 	-0.50200860960075266437, 	1.0480556197841779387
0.30303030303030303871, 	-0.49140383426097711261, 	1.0517284464806331279
0.31313131313131314926, 	-0.48076076542634454958, 	1.055640349170226866
0.3232323232323232598, 	-0.47007690706780308476, 	1.059807570491938078
0.33333333333333331483, 	-0.45934959349593501576, 	1.0642474717430101538
0.34343434343434342537, 	-0.44857597771941415399, 	1.0689786008735773226
0.35353535353535353591, 	-0.43775301910895131341, 	1.0740207619044381815
0.36363636363636364646, 	-0.42687747035573125887, 	1.0793950850661626628
0.373737373737373757, 	-0.41594586372149233711, 	1.0851240967412709715
0.38383838383838381203, 	-0.40495449658796278669, 	1.0912317880279840399
0.39393939393939392257, 	-0.39389941632685698814, 	1.0977436804255051861
0.40404040404040403311, 	-0.38277640452867039977, 	1.1046868867571488781
0.41414141414141414366, 	-0.37158096064978657358, 	1.1120901649877827921
0.4242424242424242542, 	-0.36030828516377649828, 	1.1199839620435030341
