s, 	 Rs, 	 dRs
0, 	-0.9000000000000000222, 	1
0.010101010101010101869, 	-0.88939925018009358126, 	1.0999477356627926916
0.020202020202020203737, 	-0.87775824751284226011, 	1.2060094937090659606
0.030303030303030303871, 	-0.86501404286770144925, 	1.3184207495538369237
0.040404040404040407475, 	-0.85110132404679461615, 	1.4374135984210656414
0.050505050505050504139, 	-0.83595245993395184136, 	1.5632147332179100463
0.060606060606060607743, 	-0.81949756633694459396, 	1.6960431689441328729
0.070707070707070704407, 	-0.80166459615537499772, 	1.8361076996012029028
0.08080808080808081495, 	-0.78237945663949259867, 	1.9836040754447670231
0.090909090909090911614, 	-0.76156615661566151587, 	2.1387118909910798337
0.10101010101010100828, 	-0.73914698663483102692, 	2.3015911775412014606
0.11111111111111110494, 	-0.71504273504273507811, 	2.4723786982248521227
0.12121212121212121549, 	-0.68917294296524167496, 	2.6511839487833741558
0.13131313131313132603, 	-0.66145620113895065018, 	2.8380848735938677407
0.14141414141414140881, 	-0.6318104913846727122, 	3.0331233138545039552
0.15151515151515151936, 	-0.60015357530808710607, 	3.2363002134515750363
0.1616161616161616299, 	-0.56640343250560176713, 	3.4475706178279486025
0.17171717171717171269, 	-0.53047875014223233592, 	3.6668385121445141728
0.18181818181818182323, 	-0.49229946524064172042, 	3.8939515570934273292
0.19191919191919190602, 	-0.45178736036597300085, 	4.1286957937434962673
0.20202020202020201656, 	-0.40886671260109003212, 	4.3707904025589625618
0.2121212121212121271, 	-0.36346499477533955602, 	4.6198826159334132058
0.22222222222222220989, 	-0.31551362683438155532, 	4.8755428978284083286
0.23232323232323232043, 	-0.26494877402093897079, 	5.1372605179102714956
0.24242424242424243097, 	-0.21171218718388529201, 	5.4044396603478697116
0.25252525252525254151, 	-0.15575207905973342815, 	5.6763962184826226576
0.26262626262626265206, 	-0.097024028797550676551, 	5.9523554351390499662
0.27272727272727270709, 	-0.035491905354919195403, 	6.2314505535747795051
0.28282828282828281763, 	0.028871201283218406175, 	6.51272264510306087
0.29292929292929292817, 	0.096082053772351683207, 	6.7951217753917374509
0.30303030303030303871, 	0.16614636026400741997, 	7.0775096615365962194
0.31313131313131314926, 	0.23905790220920053457, 	7.3586639555209689689
0.3232323232323232598, 	0.31479771412657331364, 	7.6372842660796589342
0.33333333333333331483, 	0.39333333333333320159, 	7.9119999999999999218
0.34343434343434342537, 	0.47461813826801735328, 	8.1813800655434114617
0.35353535353535353591, 	0.55859079424198787578, 	8.4439444353575474622
0.36363636363636364646, 	0.64517482517482549476, 	8.6981775147929010217
0.373737373737373757, 	0.73427832904142165127, 	8.942543205209101842
0.38383838383838381203, 	0.82579385334467625412, 	9.1755014923778634994
0.39393939393939392257, 	0.91959844490600195499, 	9.3955263296073319168
0.40404040404040403311, 	1.015553885638514231, 	9.6011245262295012992
0.41414141414141414366, 	1.1135071227638122515, 	9.7908552973682869691
0.4242424242424242542, 	1.2132908982101084927, 	9.9633500833201722457
0.43434343434343436474, 	1.3147245777737253114, 	10.117332209265713416
0.44444444444444441977, 	1.4176151761517612471, 	10.251635930993456824
0.45454545454545453032, 	1.5217585692995529989, 	10.365224402042466423
0.46464646464646464086, 	1.6269408808901193453, 	10.457206103738826641
0.4747474747474747514, 	1.7329400251240267838, 	10.526849302844045297
0.48484848484848486194, 	1.8395273839310539721, 	10.57359414190724678
0.49494949494949497248, 	1.94646959288869148, 	10.597062023952656062
0.50505050505050508303, 	2.0535304071113094082, 	10.597062023952656062
0.51515151515151513806, 	2.160472616068946472, 	10.573594141907245003
0.52525252525252530411, 	2.2670599748759738823, 	10.526849302844045297
0.53535353535353535914, 	2.3730591191098806547, 	10.457206103738826641
0.54545454545454541417, 	2.478241430700446557, 	10.36522440204246287
0.55555555555555558023, 	2.582384823848239197, 	10.251635930993456824
0.56565656565656563526, 	2.6852754222262733563, 	10.117332209265713416
0.57575757575757580131, 	2.7867091017898921734, 	9.9633500833201722457
0.58585858585858585634, 	2.8864928772361868603, 	9.7908552973682869691
0.59595959595959591137, 	2.9844461143614848808, 	9.6011245262295030756
0.60606060606060607743, 	3.0804015550939984891, 	9.3955263296073319168
0.61616161616161613246, 	3.1742061466553233018, 	9.1755014923778634994
0.62626262626262629851, 	3.2657216709585790149, 	8.9425432052090982893
0.63636363636363635354, 	3.3548251748251747273, 	8.6981775147929010217
0.6464646464646465196, 	3.4414092057580125683, 	8.4439444353575439095
0.65656565656565657463, 	3.5253818617319834239, 	8.1813800655434114617
0.66666666666666662966, 	3.6066666666666664653, 	7.91200000000000081
0.67676767676767679571, 	3.6852022858734274635, 	7.6372842660796580461
0.68686868686868685074, 	3.7609420977907999095, 	7.3586639555209689689
0.6969696969696970168, 	3.83385363973599258, 	7.077509661536594443
0.70707070707070707183, 	3.9039179462276489829, 	6.7951217753917374509
0.71717171717171712686, 	3.9711287987167813718, 	6.51272264510306087
0.72727272727272729291, 	4.0354919053549194174, 	6.2314505535747795051
0.73737373737373734794, 	4.0970240287975512317, 	5.9523554351390508543
0.747474747474747514, 	4.1557520790597344273, 	5.676396218482619993
0.75757575757575756903, 	4.2117121871838856251, 	5.4044396603478697116
0.76767676767676762406, 	4.2649487740209393039, 	5.1372605179102750483
0.77777777777777779011, 	4.3155136268343827766, 	4.8755428978284101049
0.78787878787878784514, 	4.3634649947753390009, 	4.6198826159334149821
0.7979797979797980112, 	4.4088667126010898656, 	4.37079040255896345
0.80808080808080806623, 	4.4517873603659730009, 	4.1286957937434962673
0.81818181818181823228, 	4.4922994652406416094, 	3.893951557093426441
0.82828282828282828731, 	4.5304787501422323359, 	3.6668385121445132846
0.83838383838383834235, 	4.5664034325056022112, 	3.4475706178279494907
0.8484848484848485084, 	4.6001535753080871061, 	3.2363002134515750363
0.85858585858585856343, 	4.6318104913846731563, 	3.0331233138545035111
0.86868686868686872948, 	4.6614562011389510943, 	2.8380848735938677407
0.87878787878787878451, 	4.689172942965242008, 	2.6511839487833750439
0.88888888888888883955, 	4.715042735042734634, 	2.4723786982248521227
0.8989898989898990056, 	4.739146986634831471, 	2.3015911775412014606
0.90909090909090906063, 	4.76156615661566196, 	2.1387118909910789455
0.91919191919191922668, 	4.7823794566394930428, 	1.9836040754447659129
0.92929292929292928171, 	4.8016645961553754418, 	1.8361076996012029028
0.93939393939393944777, 	4.819497566336944594, 	1.6960431689441310965
0.9494949494949495028, 	4.8359524599339520634, 	1.5632147332179102683
0.95959595959595955783, 	4.8511013240467946162, 	1.4374135984210669736
0.96969696969696972388, 	4.8650140428677017823, 	1.3184207495538360355
0.97979797979797977892, 	4.8777582475128422601, 	1.2060094937090661826
0.98989898989898994497, 	4.8893992501800935813, 	1.0999477356627920255
1, 	4.9000000000000003553, 	1
