s, 	 Rs, 	 dRs
0, 	-0.10000000000000000555, 	1
0.010101010101010101869, 	-0.084906270947460893428, 	1.9976069414407575664
0.020202020202020203737, 	-0.059478369257181820662, 	3.0444272179389368915
0.030303030303030303871, 	-0.023275306254029654029, 	4.1290176550475337081
0.040404040404040407475, 	0.024018629407850995705, 	5.2380580157051186418
0.050505050505050504139, 	0.08257636901704698551, 	6.3566591819146527342
0.060606060606060607743, 	0.15241425241425246573, 	7.4687839632894599262
0.070707070707070704407, 	0.23338296974660610594, 	8.5577637051838557625
0.08080808080808081495, 	0.32516409470786789004, 	9.606883465785648113
0.090909090909090911614, 	0.42727272727272741504, 	10.600000000000004974
0.10101010101010100828, 	0.5390663727285183171, 	11.522151489765422028
0.11111111111111110494, 	0.65975975975975975629, 	12.360116873630389023
0.12121212121212121549, 	0.78844488844488880286, 	13.102886124864149053
0.13131313131313132603, 	0.92411524445422787988, 	13.742010564639532078
0.14141414141414140881, 	1.0656928567108208128, 	14.271813259708132193
0.15151515151515151936, 	1.2120567375886526218, 	14.689452240832958196
0.1616161616161616299, 	1.3620712362272322515, 	14.994841986716021864
0.17171717171717171269, 	1.5146129487090587151, 	15.190449758861387153
0.18181818181818182323, 	1.6685950413223147315, 	15.280991735537194032
0.19191919191919190602, 	1.822988122988123294, 	15.273058809322550999
0.20202020202020201656, 	1.9768371144310998844, 	15.174703291910921266
0.2121212121212121271, 	2.1292738707833054335, 	14.995016019935922813
0.22222222222222220989, 	2.2795255930087394702, 	14.743719227370286617
0.23232323232323232043, 	2.4269192923268469997, 	14.43079495195823192
0.24242424242424243097, 	2.5708827404479586143, 	14.066162570888467442
0.25252525252525254151, 	2.7109424450887877889, 	13.659413071255842809
0.26262626262626265206, 	2.8467192397128706638, 	13.219602401388970137
0.27272727272727270709, 	2.9779220779220780813, 	12.755102040816328923
0.28282828282828281763, 	3.1043405877735508192, 	12.273501886247567327
0.29292929292929292817, 	3.225836881208781648, 	11.781558636705144139
0.30303030303030303871, 	3.3423370394593416854, 	11.285181926401325114
0.31313131313131314926, 	3.4538226156464184591, 	10.789450298488565849
0.3232323232323232598, 	3.5603224176039720561, 	10.298649522204268436
0.33333333333333331483, 	3.6619047619047622177, 	9.8163265306122458043
0.34343434343434342537, 	3.7586703269630099555, 	9.3453532275492001702
0.35353535353535353591, 	3.8507456802207808977, 	8.8879954496792858976
