s, 	 Rs, 	 dRs
0, 	-0.80000000000000004441, 	1
0.010101010101010101869, 	-0.78986775616655879872, 	1.00624673347892446
0.020202020202020203737, 	-0.77967049653015862987, 	1.0128755933568165393
0.030303030303030303871, 	-0.76940428677014049974, 	1.0199012968471148355
0.040404040404040407475, 	-0.75906504487413684057, 	1.027338349901316672
0.050505050505050504139, 	-0.74864854389738710871, 	1.035200920826119475
0.060606060606060607743, 	-0.7381504160778772361, 	1.0435026980590083046
0.070707070707070704407, 	-0.72756615847183214729, 	1.0522567312250752369
0.08080808080808081495, 	-0.71689114028239253607, 	1.0614752547152979112
0.090909090909090911614, 	-0.7061206120612061321, 	1.0711694931869424341
0.10101010101010100828, 	-0.69524971696770720975, 	1.0813494485963250913
0.11111111111111110494, 	-0.68427350427350419615, 	1.0920236686390532022
0.12121212121212121549, 	-0.67318694529896405676, 	1.1031989967989608292
0.13131313131313132603, 	-0.66198495196512374683, 	1.1148803045996167338
0.14141414141414140881, 	-0.65066239813578441442, 	1.1270702071159064417
0.15151515151515151936, 	-0.63921414391130093602, 	1.139768763340723412
0.1616161616161616299, 	-0.62763506301644855778, 	1.1529731636142468432
0.17171717171717171269, 	-0.61592007339904109031, 	1.1666774070090322191
0.18181818181818182323, 	-0.6040641711229945976, 	1.1808719723183391803
0.19191919191919190602, 	-0.59206246759863090379, 	1.1955434871089685167
0.20202020202020201656, 	-0.57991023014362874655, 	1.2106744001599352156
0.2121212121212121271, 	-0.56760292580982230071, 	1.2262426634958383254
0.22222222222222220989, 	-0.5551362683438155754, 	1.2422214311142756316
0.23232323232323232043, 	-0.54250626807327839707, 	1.258578782369391913
0.24242424242424243097, 	-0.52970928442626563637, 	1.2752774787717418015
0.25252525252525254151, 	-0.51674208069880900318, 	1.2922747636551639161
0.26262626262626265206, 	-0.50360188058772570319, 	1.3095222146961906784
0.27272727272727270709, 	-0.49028642590286430902, 	1.3269656595984238301
0.28282828282828281763, 	-0.47679403476828374764, 	1.3445451653189413044
0.29292929292929292817, 	-0.46312365951801592878, 	1.3621951109619836462
0.30303030303030303871, 	-0.44927494339259044231, 	1.3798443538460372082
0.31313131313131314926, 	-0.43524827505131891137, 	1.3974164972200604495
0.3232323232323232598, 	-0.42104483983678614445, 	1.4148302666299787944
0.33333333333333331483, 	-0.4066666666666667318, 	1.4319999999999999396
0.34343434343434342537, 	-0.39211666938855194164, 	1.4488362540964632164
0.35353535353535353591, 	-0.37739868142048182964, 	1.4652465272098467164
0.36363636363636364646, 	-0.36251748251748250329, 	1.4811360946745564249
0.373737373737373757, 	-0.34747881655612328222, 	1.4964089503255688651
0.38383838383838381203, 	-0.33228939931747292214, 	1.5109688432736163577
0.39393939393939392257, 	-0.31695691537519310454, 	1.5247203956004582448
0.40404040404040403311, 	-0.30149000335971409825, 	1.5375702828893438312
0.41414141414141414366, 	-0.28589822906968598293, 	1.5494284560855180466
0.4242424242424242542, 	-0.27019204613459546493, 	1.5602093802075107654
0.43434343434343436474, 	-0.2543827441921724386, 	1.5698332630791069775
0.44444444444444441977, 	-0.23848238482384828685, 	1.5782272456870911626
0.45454545454545453032, 	-0.22250372578241434107, 	1.5853265251276540404
0.46464646464646464086, 	-0.20646013433830695538, 	1.5910753814836766651
0.4747474747474747514, 	-0.19036549085399076531, 	1.5954280814277528311
0.48484848484848486194, 	-0.17423408395885459088, 	1.5983496338692029237
0.49494949494949497248, 	-0.15808049892930525759, 	1.5998163764970410039
0.50505050505050508303, 	-0.14191950107069467579, 	1.5998163764970410039
0.51515151515151513806, 	-0.12576591604114542577, 	1.5983496338692027017
0.52525252525252530411, 	-0.10963450914600916808, 	1.5954280814277528311
0.53535353535353535914, 	-0.093539865661693089027, 	1.5910753814836766651
0.54545454545454541417, 	-0.077496274217585786603, 	1.5853265251276540404
0.55555555555555558023, 	-0.061517615176151715928, 	1.5782272456870911626
0.56565656565656563526, 	-0.045617255807827619685, 	1.5698332630791069775
0.57575757575757580131, 	-0.029807953865404426819, 	1.5602093802075107654
0.58585858585858585634, 	-0.014101770930314075359, 	1.5494284560855180466
0.59595959595959591137, 	0.0014900033597139566988, 	1.5375702828893440532
0.60606060606060607743, 	0.016956915375193074014, 	1.5247203956004582448
0.61616161616161613246, 	0.032289399317472822215, 	1.5109688432736163577
0.62626262626262629851, 	0.047478816556123307202, 	1.4964089503255686431
0.63636363636363635354, 	0.062517482517482486637, 	1.4811360946745564249
0.6464646464646465196, 	0.077398681420481868498, 	1.4652465272098464943
0.65656565656565657463, 	0.092116669388551980502, 	1.4488362540964632164
0.66666666666666662966, 	0.106666666666666618, 	1.4319999999999999396
0.67676767676767679571, 	0.12104483983678618331, 	1.4148302666299785724
0.68686868686868685074, 	0.13524827505131892247, 	1.3974164972200604495
0.6969696969696970168, 	0.14927494339259048117, 	1.3798443538460372082
0.70707070707070707183, 	0.16312365951801588437, 	1.3621951109619836462
0.71717171717171712686, 	0.17679403476828361996, 	1.3445451653189413044
0.72727272727272729291, 	0.19028642590286432013, 	1.3269656595984238301
0.73737373737373734794, 	0.20360188058772571429, 	1.3095222146961906784
0.747474747474747514, 	0.21674208069880918082, 	1.2922747636551636941
0.75757575757575756903, 	0.22970928442626556421, 	1.2752774787717418015
0.76767676767676762406, 	0.24250626807327829715, 	1.258578782369392135
0.77777777777777779011, 	0.25513626834381553099, 	1.2422214311142756316
0.78787878787878784514, 	0.2676029258098222563, 	1.2262426634958383254
0.7979797979797980112, 	0.27991023014362875765, 	1.2106744001599352156
0.80808080808080806623, 	0.29206246759863085938, 	1.1955434871089685167
0.81818181818181823228, 	0.30406417112299471972, 	1.1808719723183391803
0.82828282828282828731, 	0.3159200733990410459, 	1.166677407009031997
0.83838383838383834235, 	0.32763506301644856888, 	1.1529731636142468432
0.8484848484848485084, 	0.33921414391130094712, 	1.139768763340723412
0.85858585858585856343, 	0.35066239813578442552, 	1.1270702071159064417
0.86868686868686872948, 	0.36198495196512386896, 	1.1148803045996167338
0.87878787878787878451, 	0.37318694529896401235, 	1.1031989967989610513
0.88888888888888883955, 	0.38427350427350420725, 	1.0920236686390532022
0.8989898989898990056, 	0.39524971696770727636, 	1.0813494485963250913
0.90909090909090906063, 	0.4061206120612060877, 	1.0711694931869424341
0.91919191919191922668, 	0.41689114028239254717, 	1.0614752547152979112
0.92929292929292928171, 	0.42756615847183210288, 	1.0522567312250752369
0.93939393939393944777, 	0.43815041607787730271, 	1.0435026980590083046
0.9494949494949495028, 	0.44864854389738717533, 	1.035200920826119475
0.95959595959595955783, 	0.45906504487413668514, 	1.027338349901316672
0.96969696969696972388, 	0.46940428677014045533, 	1.0199012968471148355
0.97979797979797977892, 	0.47967049653015869648, 	1.0128755933568165393
0.98989898989898994497, 	0.48986775616655892085, 	1.00624673347892446
1, 	0.5, 	1
