s, 	 Rs, 	 dRs
0, 	-3.5, 	1
0.010101010101010101869, 	-3.4849062709474609711, 	1.9976069414407575664
0.020202020202020203737, 	-3.4594783692571815514, 	3.0444272179389368915
0.030303030303030303871, 	-3.4232753062540295375, 	4.1290176550475337081
0.040404040404040407475, 	-3.375981370592149311, 	5.2380580157051186418
0.050505050505050504139, 	-3.3174236309829527869, 	6.3566591819146527342
0.060606060606060607743, 	-3.2475857475857474732, 	7.4687839632894599262
0.070707070707070704407, 	-3.1666170302533940273, 	8.5577637051838557625
0.08080808080808081495, 	-3.0748359052921316881, 	9.606883465785648113
0.090909090909090911614, 	-2.9727272727272726627, 	10.600000000000004974
0.10101010101010100828, 	-2.8609336272714820382, 	11.522151489765422028
0.11111111111111110494, 	-2.7402402402402401549, 	12.360116873630389023
0.12121212121212121549, 	-2.6115551115551114414, 	13.102886124864149053
0.13131313131313132603, 	-2.4758847555457723644, 	13.742010564639532078
0.14141414141414140881, 	-2.3343071432891795425, 	14.271813259708132193
0.15151515151515151936, 	-2.1879432624113475114, 	14.689452240832958196
0.1616161616161616299, 	-2.0379287637727681037, 	14.994841986716021864
0.17171717171717171269, 	-1.8853870512909411961, 	15.190449758861387153
0.18181818181818182323, 	-1.7314049586776851797, 	15.280991735537194032
0.19191919191919190602, 	-1.5770118770118766172, 	15.273058809322550999
0.20202020202020201656, 	-1.4231628855689002489, 	15.174703291910921266
0.2121212121212121271, 	-1.2707261292166946998, 	14.995016019935922813
0.22222222222222220989, 	-1.120474406991260663, 	14.743719227370286617
0.23232323232323232043, 	-0.97308070767315313354, 	14.43079495195823192
0.24242424242424243097, 	-0.82911725955204151894, 	14.066162570888467442
0.25252525252525254151, 	-0.68905755491121234435, 	13.659413071255842809
0.26262626262626265206, 	-0.55328076028712902534, 	13.219602401388970137
0.27272727272727270709, 	-0.42207792207792216299, 	12.755102040816328923
0.28282828282828281763, 	-0.29565941222644914754, 	12.273501886247567327
0.29292929292929292817, 	-0.17416311879121793016, 	11.781558636705144139
0.30303030303030303871, 	-0.057662960540658392272, 	11.285181926401325114
0.31313131313131314926, 	0.053822615646418325852, 	10.789450298488565849
0.3232323232323232598, 	0.16032241760397186736, 	10.298649522204268436
0.33333333333333331483, 	0.26190476190476236207, 	9.8163265306122458043
0.34343434343434342537, 	0.35867032696301004435, 	9.3453532275492001702
0.35353535353535353591, 	0.45074568022078115304, 	8.8879954496792858976
0.36363636363636364646, 	0.53827751196172302084, 	8.4459833795013850022
0.373737373737373757, 	0.62142757563083850236, 	8.0205806277933735515
0.38383838383838381203, 	0.70036831060453175191, 	7.612650006365102584
0.39393939393939392257, 	0.77527910685805434543, 	7.2227146814404425967
0.40404040404040403311, 	0.84634316057240943643, 	6.8510139358591493064
0.41414141414141414366, 	0.91374486412654420953, 	6.4975531847841994093
0.4242424242424242542, 	0.97766767198046844456, 	6.1621481997259710539
0.43434343434343436474, 	1.038292384680991276, 	5.844463716341588011
0.44444444444444441977, 	1.0957957957957960016, 	5.544046749452156142
0.45454545454545453032, 	1.1503496503496508652, 	5.2603550295857965935
0.46464646464646464086, 	1.2021198677921951514, 	4.9927810227418021327
0.4747474747474747514, 	1.2512659872908322711, 	4.7406720104808268701
0.48484848484848486194, 	1.2979407979407977525, 	4.5033467002578966287
0.49494949494949497248, 	1.3422901211282962652, 	4.2801088135534843815
0.50505050505050508303, 	1.3844527166486217951, 	4.0702580675417472378
0.51515151515151513806, 	1.4245602881966521469, 	3.8730989290429835847
0.52525252525252530411, 	1.462737567476191991, 	3.6879474804466725324
0.53535353535353535914, 	1.4991024594083595112, 	3.5141366983373565347
0.54545454545454541417, 	1.5337662337662338885, 	3.3510204081632664064
0.55555555555555558023, 	1.5668337510442784666, 	3.197976143365933055
0.56565656565656563526, 	1.5984037125143450986, 	3.0544071054460100179
0.57575757575757580131, 	1.62856892625678773, 	2.9197433926960445483
0.58585858585858585634, 	1.6574165825177977762, 	2.7934426398045220097
0.59595959595959591137, 	1.6850285330647869486, 	2.6749901881143856031
0.60606060606060607743, 	1.7114815703206205377, 	2.5638988868080847539
0.61616161616161613246, 	1.7368477029831608238, 	2.4597086084477464141
0.62626262626262629851, 	1.7611944256044838042, 	2.3619855478603337673
0.63636363636363635354, 	1.7845849802371538395, 	2.2703213610585999405
0.6464646464646465196, 	1.8070786087735237757, 	2.1843321904710077952
0.65656565656565657463, 	1.8287307950257774003, 	2.1036576139772398264
0.66666666666666662966, 	1.8495934959349602522, 	2.0279595478881633497
0.67676767676767679571, 	1.8697153615696984197, 	1.9569211278710056945
0.68686868686868685074, 	1.8891419437912100321, 	1.8902455867236280795
