s, 	 Rs, 	 dRs
0, 	-2.5999999999999996447, 	1
0.010101010101010101869, 	-2.5877146753576960592, 	1.4364530368803314353
0.020202020202020203737, 	-2.5709081501863804142, 	1.894436907848284557
0.030303030303030303871, 	-2.5493874919406831481, 	2.3689452240832955532
0.040404040404040407475, 	-2.5230145769067928718, 	2.8541503818709887952
0.050505050505050504139, 	-2.4917137476459507717, 	3.3435383920876602382
0.060606060606060607743, 	-2.4554778554778553534, 	3.830092983939137774
0.070707070707070704407, 	-2.4143722234631326273, 	4.3065216210179357859
0.08080808080808081495, 	-2.368536163110762427, 	4.7655115162812196061
0.090909090909090911614, 	-2.3181818181818178992, 	5.2000000000000010658
0.10101010101010100828, 	-2.2635902801130911577, 	5.6034412767723704718
0.11111111111111110494, 	-2.2051051051051047125, 	5.9700511322132934211
0.12121212121212121549, 	-2.1431235431235431399, 	6.2950126796280629904
0.13131313131313132603, 	-2.0780859441876384786, 	6.5746296220297937296
0.14141414141414140881, 	-2.0104639206435610532, 	6.8064183011223065023
0.15151515151515151936, 	-1.9407479045776914184, 	6.9891353553644171015
0.1616161616161616299, 	-1.869434743241494612, 	7.1227433691882575673
0.17171717171717171269, 	-1.7970159258488775933, 	7.208321769501854881
0.18181818181818182323, 	-1.7239669421487600065, 	7.2479338842975202795
0.19191919191919190602, 	-1.6507381507381504449, 	7.2444632290786143969
0.20202020202020201656, 	-1.5777473988000303429, 	7.2014326902110266104
0.2121212121212121271, 	-1.5053744997141220718, 	7.1228195087219638992
0.22222222222222220989, 	-1.4339575530586765595, 	7.0128771619744982857
0.23232323232323232043, 	-1.3637909914251862276, 	6.8759727914817245775
0.24242424242424243097, 	-1.2951251646903818582, 	6.7164461247637028407
0.25252525252525254151, 	-1.2281672257282008065, 	6.5384932186744295635
0.26262626262626265206, 	-1.1630830598983461499, 	6.3460760506076727694
0.27272727272727270709, 	-1.1000000000000000888, 	6.1428571428571423496
0.28282828282828281763, 	-1.0390100837581621729, 	5.9321570752333094845
0.29292929292929292817, 	-0.98017363719843053627, 	5.7169319035584988953
0.30303030303030303871, 	-0.92352299978199270392, 	5.4997670928005790714
0.31313131313131314926, 	-0.86906624201832838317, 	5.2828845055887461157
0.3232323232323232598, 	-0.81679076048008059097, 	5.0681591659643654424
0.33333333333333331483, 	-0.76666666666666660745, 	4.8571428571428567622
0.34343434343434342537, 	-0.7186499137718650454, 	4.6510920370527735201
0.35353535353535353591, 	-0.67268512853977169286, 	4.4509980092346861369
0.36363636363636364646, 	-0.62870813397129199362, 	4.2576177285318550503
0.373737373737373757, 	-0.58664816293423549531, 	4.0715040246595997075
0.38383838383838381203, 	-0.54642977320142649411, 	3.8930343777847316034
0.39393939393939392257, 	-0.50797448165869230063, 	3.7224376731301926924
0.40404040404040403311, 	-0.47120213997684373686, 	3.5598185969383768779
0.41414141414141414366, 	-0.4360320764900915691, 	3.4051795183430866309
0.4242424242424242542, 	-0.40238402987218130358, 	3.258439837380112003
0.43434343434343436474, 	-0.37017889988388430478, 	3.1194528758994439777
0.44444444444444441977, 	-0.33933933933933946303, 	2.9880204528853173684
0.45454545454545453032, 	-0.30979020979020971405, 	2.863905325443785177
0.46464646464646464086, 	-0.28145892147727857857, 	2.746841697449537989
0.4747474747474747514, 	-0.25427567601480655091, 	2.6365440045853612006
0.48484848484848486194, 	-0.22817362817362840666, 	2.5327141813628291089
0.49494949494949497248, 	-0.20308898109727951953, 	2.4350476059296495279
0.50505050505050508303, 	-0.17896102737531893734, 	2.3432379045495137504
0.51515151515151513806, 	-0.15573214664123757878, 	2.2569807814563045412
0.52525252525252530411, 	-0.13334776877462051203, 	2.1759770226954189276
0.53535353535353535914, 	-0.11175631037247923949, 	2.0999348055225928178
0.54545454545454541417, 	-0.090909090909090828347, 	2.0285714285714284699
0.55555555555555558023, 	-0.070760233918128356834, 	1.9616145627225953785
0.56565656565656563526, 	-0.051266557593155792638, 	1.898803108632629133
0.57575757575757580131, 	-0.03238745839901913115, 	1.8398877343045192401
0.58585858585858585634, 	-0.014084790603009045284, 	1.7846311549144782127
0.59595959595959591137, 	0.0036772559431169637989, 	1.7328082073000437013
0.60606060606060607743, 	0.020932277924362363564, 	1.6842057629785367467
0.61616161616161613246, 	0.037711779146042068156, 	1.6386225161958889451
0.62626262626262629851, 	0.054045288474688923941, 	1.5958686771888959122
0.63636363636363635354, 	0.069960474308300435453, 	1.5557655954631373074
0.6464646464646465196, 	0.085483254974780376045, 	1.5181453333310659382
0.65656565656565657463, 	0.10063790464195931929, 	1.4828502061150423685
0.66666666666666662966, 	0.11544715447154496601, 	1.449732302201071299
0.67676767676767679571, 	0.12993228886856122983, 	1.4186529934435649913
0.68686868686868685074, 	0.14411323677229037621, 	1.3894824441915871738
0.6969696969696970168, 	0.15800865800865804278, 	1.3620991253644314511
0.70707070707070707183, 	0.17163602478102579774, 	1.3363893384892451266
0.71717171717171712686, 	0.18501169841951980999, 	1.312246753373867314
0.72727272727272729291, 	0.19815100154083231665, 	1.289571962079862244
0.73737373737373734794, 	0.21106828579311265326, 	1.2682720510455922636
0.747474747474747514, 	0.22377699537580375555, 	1.2482601925547962551
0.75757575757575756903, 	0.23628972653362900758, 	1.2294552562250364858
0.76767676767676762406, 	0.24861828322858703366, 	1.2117814407793097153
0.77777777777777779011, 	0.26077372919478181146, 	1.1951679260436995911
0.78787878787878784514, 	0.27276643657903754114, 	1.1795485448675624429
0.7979797979797980112, 	0.28460613136620127595, 	1.1648614744771361718
0.80808080808080806623, 	0.29630193578236629914, 	1.1510489466367270772
0.81818181818181823228, 	0.30786240786240792744, 	1.1380569758948135828
0.82828282828282828731, 	0.31929557836057254061, 	1.1258351051272663668
0.83838383838383834235, 	0.33060898517468684243, 	1.1143361675501897157
0.8484848484848485084, 	0.34180970544606892325, 	1.1035160643552250903
0.85858585858585856343, 	0.35290438548865510349, 	1.0933335571161124644
0.86868686868686872948, 	0.36389926869226474349, 	1.0837500741234205037
0.87878787878787878451, 	0.37480022153651404437, 	1.0747295298215957526
0.88888888888888883955, 	0.38561275784364723584, 	1.0662381565465424149
0.8989898989898990056, 	0.39634206139060512708, 	1.0582443477909584395
0.90909090909090906063, 	0.40699300699300700046, 	1.0507185122569728808
0.91919191919191922668, 	0.41757018016641067604, 	1.043632937990198295
0.92929292929292928171, 	0.42807789546327024155, 	1.0369616659250053825
0.93939393939393944777, 	0.43852021357742210217, 	1.030680372207007256
0.9494949494949495028, 	0.44890095730170398447, 	1.0247662586947503538
0.95959595959595955783, 	0.45922372641846220809, 	1.0191979510780442286
0.96969696969696972388, 	0.46949191159717473809, 	1.0139554040848628436
0.97979797979797977892, 	0.47970870736828186143, 	1.009019813282096667
0.98989898989898994497, 	0.48987712423744955714, 	1.0043735330074059497
1, 	0.5, 	1
