s, 	 Rs, 	 dRs
0, 	-0.5, 	1
0.010101010101010101869, 	-0.48939925018009350355, 	1.0999477356627926916
0.020202020202020203737, 	-0.47775824751284218239, 	1.2060094937090659606
0.030303030303030303871, 	-0.46501404286770142704, 	1.3184207495538369237
0.040404040404040407475, 	-0.45110132404679470497, 	1.4374135984210656414
0.050505050505050504139, 	-0.43595245993395187467, 	1.5632147332179100463
0.060606060606060607743, 	-0.41949756633694457175, 	1.6960431689441328729
0.070707070707070704407, 	-0.40166459615537497552, 	1.8361076996012029028
0.08080808080808081495, 	-0.38237945663949257646, 	1.9836040754447670231
0.090909090909090911614, 	-0.36156615661566149367, 	2.1387118909910798337
0.10101010101010100828, 	-0.33914698663483106023, 	2.3015911775412014606
0.11111111111111110494, 	-0.31504273504273505591, 	2.4723786982248521227
0.12121212121212121549, 	-0.28917294296524165276, 	2.6511839487833741558
0.13131313131313132603, 	-0.26145620113895062797, 	2.8380848735938677407
0.14141414141414140881, 	-0.23181049138467274551, 	3.0331233138545039552
0.15151515151515151936, 	-0.20015357530808708386, 	3.2363002134515750363
0.1616161616161616299, 	-0.16640343250560177268, 	3.4475706178279486025
0.17171717171717171269, 	-0.1304787501422322582, 	3.6668385121445141728
0.18181818181818182323, 	-0.092299465240641642705, 	3.8939515570934273292
0.19191919191919190602, 	-0.051787360365972978649, 	4.1286957937434962673
0.20202020202020201656, 	-0.0088667126010900099153, 	4.3707904025589625618
0.2121212121212121271, 	0.036535005224660466183, 	4.6198826159334132058
0.22222222222222220989, 	0.084486373165618466885, 	4.8755428978284083286
0.23232323232323232043, 	0.13505122597906099591, 	5.1372605179102714956
0.24242424242424243097, 	0.1882878128161147302, 	5.4044396603478697116
0.25252525252525254151, 	0.24424792094026664957, 	5.6763962184826226576
0.26262626262626265206, 	0.30297597120244934565, 	5.9523554351390499662
0.27272727272727270709, 	0.3645080946450808268, 	6.2314505535747795051
0.28282828282828281763, 	0.42887120128321848389, 	6.51272264510306087
0.29292929292929292817, 	0.49608205377235170541, 	6.7951217753917374509
0.30303030303030303871, 	0.56614636026400733115, 	7.0775096615365962194
0.31313131313131314926, 	0.63905790220920055678, 	7.3586639555209689689
0.3232323232323232598, 	0.71479771412657333585, 	7.6372842660796589342
0.33333333333333331483, 	0.79333333333333322379, 	7.9119999999999999218
0.34343434343434342537, 	0.87461813826801737548, 	8.1813800655434114617
0.35353535353535353591, 	0.95859079424198800901, 	8.4439444353575474622
0.36363636363636364646, 	1.045174825174825628, 	8.6981775147929010217
0.373737373737373757, 	1.1342783290414215625, 	8.942543205209101842
0.38383838383838381203, 	1.2257938533446763874, 	9.1755014923778634994
0.39393939393939392257, 	1.3195984449060018662, 	9.3955263296073319168
0.40404040404040403311, 	1.4155538856385141422, 	9.6011245262295012992
0.41414141414141414366, 	1.5135071227638123847, 	9.7908552973682869691
0.4242424242424242542, 	1.6132908982101086259, 	9.9633500833201722457
0.43434343434343436474, 	1.7147245777737252226, 	10.117332209265713416
0.44444444444444441977, 	1.8176151761517613803, 	10.251635930993456824
0.45454545454545453032, 	1.9217585692995531321, 	10.365224402042466423
0.46464646464646464086, 	2.0269408808901192565, 	10.457206103738826641
0.4747474747474747514, 	2.1329400251240269171, 	10.526849302844045297
0.48484848484848486194, 	2.2395273839310538833, 	10.57359414190724678
0.49494949494949497248, 	2.3464695928886913912, 	10.597062023952656062
0.50505050505050508303, 	2.4535304071113093194, 	10.597062023952656062
0.51515151515151513806, 	2.5604726160689463832, 	10.573594141907245003
0.52525252525252530411, 	2.6670599748759737935, 	10.526849302844045297
0.53535353535353535914, 	2.7730591191098805659, 	10.457206103738826641
0.54545454545454541417, 	2.8782414307004464682, 	10.36522440204246287
0.55555555555555558023, 	2.9823848238482391082, 	10.251635930993456824
0.56565656565656563526, 	3.0852754222262737116, 	10.117332209265713416
0.57575757575757580131, 	3.1867091017898920846, 	9.9633500833201722457
0.58585858585858585634, 	3.2864928772361867715, 	9.7908552973682869691
0.59595959595959591137, 	3.3844461143614852361, 	9.6011245262295030756
0.60606060606060607743, 	3.4804015550939984003, 	9.3955263296073319168
0.61616161616161613246, 	3.5742061466553236571, 	9.1755014923778634994
0.62626262626262629851, 	3.665721670958578926, 	8.9425432052090982893
0.63636363636363635354, 	3.7548251748251746385, 	8.6981775147929010217
0.6464646464646465196, 	3.8414092057580124795, 	8.4439444353575439095
0.65656565656565657463, 	3.9253818617319833351, 	8.1813800655434114617
0.66666666666666662966, 	4.0066666666666668206, 	7.91200000000000081
0.67676767676767679571, 	4.0852022858734269306, 	7.6372842660796580461
0.68686868686868685074, 	4.1609420977907998207, 	7.3586639555209689689
0.6969696969696970168, 	4.2338536397359929353, 	7.077509661536594443
0.70707070707070707183, 	4.30391794622764845, 	6.7951217753917374509
0.71717171717171712686, 	4.371128798716781283, 	6.51272264510306087
0.72727272727272729291, 	4.4354919053549197727, 	6.2314505535747795051
0.73737373737373734794, 	4.4970240287975506988, 	5.9523554351390508543
0.747474747474747514, 	4.5557520790597338944, 	5.676396218482619993
0.75757575757575756903, 	4.6117121871838859803, 	5.4044396603478697116
0.76767676767676762406, 	4.6649487740209387709, 	5.1372605179102750483
0.77777777777777779011, 	4.7155136268343822437, 	4.8755428978284101049
0.78787878787878784514, 	4.7634649947753393562, 	4.6198826159334149821
0.7979797979797980112, 	4.8088667126010893327, 	4.37079040255896345
0.80808080808080806623, 	4.8517873603659733561, 	4.1286957937434962673
0.81818181818181823228, 	4.8922994652406419647, 	3.893951557093426441
0.82828282828282828731, 	4.930478750142231803, 	3.6668385121445132846
0.83838383838383834235, 	4.9664034325056016783, 	3.4475706178279494907
0.8484848484848485084, 	5.0001535753080874613, 	3.2363002134515750363
0.85858585858585856343, 	5.0318104913846735116, 	3.0331233138545035111
0.86868686868686872948, 	5.0614562011389505614, 	2.8380848735938677407
0.87878787878787878451, 	5.0891729429652423633, 	2.6511839487833750439
0.88888888888888883955, 	5.1150427350427349893, 	2.4723786982248521227
0.8989898989898990056, 	5.1391469866348309381, 	2.3015911775412014606
0.90909090909090906063, 	5.1615661566156623152, 	2.1387118909910789455
0.91919191919191922668, 	5.182379456639493398, 	1.9836040754447659129
0.92929292929292928171, 	5.2016645961553749089, 	1.8361076996012029028
0.93939393939393944777, 	5.2194975663369449492, 	1.6960431689441310965
0.9494949494949495028, 	5.2359524599339524187, 	1.5632147332179102683
0.95959595959595955783, 	5.2511013240467940832, 	1.4374135984210669736
0.96969696969696972388, 	5.2650140428677021376, 	1.3184207495538360355
0.97979797979797977892, 	5.2777582475128426154, 	1.2060094937090661826
0.98989898989898994497, 	5.2893992501800930484, 	1.0999477356627920255
1, 	5.3000000000000007105, 	1
