iter,	 x,	 y
0,	0.10000000000000000555,	 2.0974106041923548105
1,	0.55000000000000004441,	 1.3770676691729319963
2,	0.7750000000000000222,	 0.28547430830039499661
3,	0.79545609927256455407,	 0.14040652630059891059
4,	0.80522695820567791181,	 0.069925338627568889294
5,	0.81005862559416585977,	 0.034929501511689720061
6,	0.81246809659608365539,	 0.017461063217470318421
7,	0.8136721335060568272,	 0.008730195057104928047
8,	0.81427409048600485342,	 0.004365087360897912383
9,	0.81487604530985002782,	 3.4509969881746371811e-08
10,	0.81487605006893970572,	 1.1102230246251565404e-16
