s, 	 Rs, 	 dRs
0, 	-0.9000000000000000222, 	1
0.010101010101010101869, 	-0.88490627094746099335, 	1.9976069414407575664
0.020202020202020203737, 	-0.85947836925718179568, 	3.0444272179389368915
0.030303030303030303871, 	-0.82327530625402967068, 	4.1290176550475337081
0.040404040404040407475, 	-0.77598137059214900013, 	5.2380580157051186418
0.050505050505050504139, 	-0.71742363098295303114, 	6.3566591819146527342
0.060606060606060607743, 	-0.64758574758574749541, 	7.4687839632894599262
0.070707070707070704407, 	-0.56661703025339393847, 	8.5577637051838557625
0.08080808080808081495, 	-0.47483590529213215436, 	9.606883465785648113
0.090909090909090911614, 	-0.37272727272727257386, 	10.600000000000004974
0.10101010101010100828, 	-0.26093362727148172731, 	11.522151489765422028
0.11111111111111110494, 	-0.14024024024024028812, 	12.360116873630389023
0.12121212121212121549, 	-0.01155511155511124155, 	13.102886124864149053
0.13131313131313132603, 	0.12411524445422794649, 	13.742010564639532078
0.14141414141414140881, 	0.26569285671082087941, 	14.271813259708132193
0.15151515151515151936, 	0.41205673758865257739, 	14.689452240832958196
0.1616161616161616299, 	0.56207123622723220713, 	14.994841986716021864
0.17171717171717171269, 	0.71461294870905878174, 	15.190449758861387153
0.18181818181818182323, 	0.86859504132231468709, 	15.280991735537194032
0.19191919191919190602, 	1.0229881229881232496, 	15.273058809322550999
0.20202020202020201656, 	1.1768371144310996179, 	15.174703291910921266
0.2121212121212121271, 	1.329273870783305167, 	14.995016019935922813
0.22222222222222220989, 	1.4795255930087394258, 	14.743719227370286617
0.23232323232323232043, 	1.6269192923268471773, 	14.43079495195823192
0.24242424242424243097, 	1.7708827404479583478, 	14.066162570888467442
0.25252525252525254151, 	1.9109424450887877445, 	13.659413071255842809
0.26262626262626265206, 	2.0467192397128708414, 	13.219602401388970137
0.27272727272727270709, 	2.1779220779220778148, 	12.755102040816328923
0.28282828282828281763, 	2.3043405877735505527, 	12.273501886247567327
0.29292929292929292817, 	2.4258368812087818256, 	11.781558636705144139
0.30303030303030303871, 	2.542337039459341419, 	11.285181926401325114
0.31313131313131314926, 	2.6538226156464186367, 	10.789450298488565849
0.3232323232323232598, 	2.7603224176039717896, 	10.298649522204268436
0.33333333333333331483, 	2.8619047619047623954, 	9.8163265306122458043
0.34343434343434342537, 	2.9586703269630101332, 	9.3453532275492001702
0.35353535353535353591, 	3.0507456802207810753, 	8.8879954496792858976
0.36363636363636364646, 	3.1382775119617232207, 	8.4459833795013850022
0.373737373737373757, 	3.2214275756308388132, 	8.0205806277933735515
0.38383838383838381203, 	3.3003683106045316187, 	7.612650006365102584
0.39393939393939392257, 	3.3752791068580547673, 	7.2227146814404425967
0.40404040404040403311, 	3.4463431605724097473, 	6.8510139358591493064
0.41414141414141414366, 	3.5137448641265440763, 	6.4975531847841994093
0.4242424242424242542, 	3.5776676719804685334, 	6.1621481997259710539
0.43434343434343436474, 	3.6382923846809913648, 	5.844463716341588011
0.44444444444444441977, 	3.6957957957957958683, 	5.544046749452156142
0.45454545454545453032, 	3.7503496503496513981, 	5.2603550295857965935
0.46464646464646464086, 	3.8021198677921952402, 	4.9927810227418021327
0.4747474747474747514, 	3.8512659872908319159, 	4.7406720104808268701
0.48484848484848486194, 	3.8979407979407980633, 	4.5033467002578966287
0.49494949494949497248, 	3.942290121128296132, 	4.2801088135534843815
0.50505050505050508303, 	3.9844527166486214398, 	4.0702580675417472378
0.51515151515151513806, 	4.0245602881966524578, 	3.8730989290429835847
0.52525252525252530411, 	4.0627375674761925239, 	3.6879474804466725324
0.53535353535353535914, 	4.0991024594083596, 	3.5141366983373565347
0.54545454545454541417, 	4.1337662337662335332, 	3.3510204081632664064
0.55555555555555558023, 	4.1668337510442787774, 	3.197976143365933055
0.56565656565656563526, 	4.1984037125143451874, 	3.0544071054460100179
0.57575757575757580131, 	4.2285689262567878188, 	2.9197433926960445483
0.58585858585858585634, 	4.2574165825177985312, 	2.7934426398045220097
0.59595959595959591137, 	4.2850285330647865933, 	2.6749901881143856031
0.60606060606060607743, 	4.3114815703206206265, 	2.5638988868080847539
0.61616161616161613246, 	4.3368477029831611347, 	2.4597086084477464141
0.62626262626262629851, 	4.3611944256044834489, 	2.3619855478603337673
0.63636363636363635354, 	4.3845849802371539283, 	2.2703213610585999405
0.6464646464646465196, 	4.4070786087735243086, 	2.1843321904710077952
0.65656565656565657463, 	4.4287307950257774891, 	2.1036576139772398264
0.66666666666666662966, 	4.4495934959349598969, 	2.0279595478881633497
0.67676767676767679571, 	4.4697153615696985085, 	1.9569211278710056945
0.68686868686868685074, 	4.4891419437912096768, 	1.8902455867236280795
0.6969696969696970168, 	4.5079158936301793048, 	1.8276551436901293801
0.70707070707070707183, 	4.5260771475514358642, 	1.7688899165468461305
0.71717171717171712686, 	4.5436631028809797428, 	1.713706864854553924
0.72727272727272729291, 	4.5607087827426822102, 	1.6618787704682567163
0.73737373737373734794, 	4.5772469909037383218, 	1.6131932595327826974
0.747474747474747514, 	4.5933084569628768179, 	1.5674518686966776304
0.75757575757575756903, 	4.6089219723366063874, 	1.524469157085797999
0.76767676767676762406, 	4.6241145175094979791, 	1.4840718646384225554
0.77777777777777779011, 	4.638911381016644242, 	1.4460981166713131607
0.78787878787878784514, 	4.6533362706222156646, 	1.4103966739830000598
0.7979797979797980112, 	4.6674114171487204317, 	1.3768262273763114401
0.80808080808080806623, 	4.6811576713986564613, 	1.345254735169662208
0.81818181818181823228, 	4.6945945945945943834, 	1.3155588020452884113
0.82828282828282828731, 	4.7077405427462446497, 	1.2876230974337516955
0.83838383838383834235, 	4.7206127453343498246, 	1.2613398115432910007
0.8484848484848485084, 	4.7332273786819243355, 	1.2366081470976573176
0.85858585858585856343, 	4.7455996343636801527, 	1.2133338448368287121
0.86868686868686872948, 	4.7577437829849165141, 	1.1914287408535328971
0.87878787878787878451, 	4.7696732336419014331, 	1.1708103538779330854
0.88888888888888883955, 	4.7814005893569078154, 	1.1514015006778115513
0.8989898989898990056, 	4.792937698762941956, 	1.1331299378079049411
0.90909090909090906063, 	4.8042957042957041836, 	1.115928028015938267
0.91919191919191922668, 	4.8154850871336147833, 	1.0997324296918820075
0.92929292929292928171, 	4.826515709110851482, 	1.084483807828583668
0.93939393939393944777, 	4.8373968518133274586, 	1.0701265650445881406
0.9494949494949495028, 	4.8481372530532462761, 	1.0566085913022866816
0.95959595959595955783, 	4.8587451409045367967, 	1.0438810310355295385
0.96969696969696972388, 	4.8692282654688670007, 	1.0318980664796864044
0.97979797979797977892, 	4.8795939285300988786, 	1.0206167160733639054
0.98989898989898994497, 	4.8898490112440411437, 	1.0099966468740708692
1, 	4.9000000000000003553, 	1
