s, 	 Rs, 	 dRs
0, 	-2.5999999999999996447, 	1
0.010101010101010101869, 	-2.5896803537719725874, 	1.0437271343524718858
0.020202020202020203737, 	-2.5789055969232319576, 	1.090129153497716441
0.030303030303030303871, 	-2.5676481892091649328, 	1.1393090779298036264
0.040404040404040407475, 	-2.5558795565431999819, 	1.1913684493092160377
0.050505050505050504139, 	-2.5435701103120127442, 	1.2464064457828354371
0.060606060606060607743, 	-2.5306892761815040771, 	1.3045188864130579098
0.070707070707070704407, 	-2.5172055335452485636, 	1.3657971185755259924
0.08080808080808081495, 	-2.5030864668252323924, 	1.4303267830070853783
0.090909090909090911614, 	-2.4882988298829884499, 	1.4981864523085972607
0.10101010101010100828, 	-2.4728086248345562126, 	1.569446140174275417
0.11111111111111110494, 	-2.4565811965811965578, 	1.6441656804733726371
0.12121212121212121549, 	-2.4395813443654748021, 	1.7223929775927260266
0.13131313131313132603, 	-2.421773451634654073, 	1.8041621321973169145
0.14141414141414140881, 	-2.4031216354353395204, 	1.8894914498113450918
0.15151515151515151936, 	-2.3835899164700156128, 	1.9783813433850636621
0.1616161616161616299, 	-2.3631424108121095173, 	2.070812145299727014
0.17171717171717171269, 	-2.3417435440963170201, 	2.1667418490632246453
0.18181818181818182323, 	-2.3193582887700534556, 	2.2661038062283740402
0.19191919191919190602, 	-2.295952424705567374, 	2.3688044097627791729
0.20202020202020201656, 	-2.2714928231266133807, 	2.4747208011195453992
0.2121212121212121271, 	-2.2459477533960292561, 	2.5836986444708678334
0.22222222222222220989, 	-2.219287211740041954, 	2.6955500177999285327
0.23232323232323232043, 	-2.191483270452342591, 	2.8100514765857433908
0.24242424242424243097, 	-2.1625104455293131522, 	2.9269423514021921662
0.25252525252525254151, 	-2.1323460800431788265, 	3.0459233455861469686
0.26262626262626265206, 	-2.1009707398716552795, 	3.1666555028733336385
0.27272727272727270709, 	-2.0683686176836859616, 	3.2887596171889654784
0.28282828282828281763, 	-2.0345279403476825841, 	3.4118161572325882425
0.29292929292929292817, 	-1.9994413742018686264, 	3.535365776733883969
0.30303030303030303871, 	-1.9631064219299512175, 	3.6589104769222600133
0.31313131313131314926, 	-1.9255258041471110531, 	3.7819154805404231467
0.3232323232323232598, 	-1.8867078182514422924, 	3.9038118664098497845
0.33333333333333331483, 	-1.8466666666666669006, 	4.0239999999999991331
0.34343434343434342537, 	-1.8054227463259240327, 	4.1418537786752418484
0.35353535353535353591, 	-1.7630028911554938009, 	4.2567256904689259045
0.36363636363636364646, 	-1.7194405594405592907, 	4.3679526627218931978
0.373737373737373757, 	-1.674775958317105351, 	4.4748626522789809457
0.38383838383838381203, 	-1.6290560982526129941, 	4.5767819029153145038
0.39393939393939392257, 	-1.5823347712627149342, 	4.6730427692032066034
0.40404040404040403311, 	-1.5346724477604225534, 	4.7629919802254052641
0.41414141414141414366, 	-1.4861360883362866314, 	4.8459991925986241057
0.4242424242424242542, 	-1.4367988683967136687, 	4.9214656614525740252
0.43434343434343436474, 	-1.3867398154058130366, 	4.9888328415537488425
0.44444444444444441977, 	-1.3360433604336043878, 	5.0475907198096363615
0.45454545454545453032, 	-1.2847988077496272918, 	5.0972856758935778387
0.46464646464646464086, 	-1.2330997282469362553, 	5.1375276703857348792
0.4747474747474747514, 	-1.1810432844627838378, 	5.1679965699942682633
0.48484848484848486194, 	-1.1287294968028911413, 	5.1884474370844193558
0.49494949494949497248, 	-1.0762604622021065826, 	5.1987146354792850289
0.50505050505050508303, 	-1.0237395377978932842, 	5.1987146354792850289
0.51515151515151513806, 	-0.9712705031971087255, 	5.1884474370844184676
0.52525252525252530411, 	-0.91895671553721580693, 	5.1679965699942682633
0.53535353535353535914, 	-0.86690027175306372254, 	5.1375276703857348792
0.54545454545454541417, 	-0.81520119225037279698, 	5.0972856758935760624
0.55555555555555558023, 	-0.76395663956639536796, 	5.0475907198096354733
0.56565656565656563526, 	-0.71326018459418694118, 	4.9888328415537488425
0.57575757575757580131, 	-0.66320113160328564295, 	4.9214656614525740252
0.58585858585858585634, 	-0.6138639116637134574, 	4.8459991925986241057
0.59595959595959591137, 	-0.56532755223957764645, 	4.7629919802254061523
0.60606060606060607743, 	-0.51766522873728482157, 	4.6730427692032066034
0.61616161616161613246, 	-0.47094390174738687271, 	4.5767819029153145038
0.62626262626262629851, 	-0.42522404168289451576, 	4.4748626522789800575
0.63636363636363635354, 	-0.38055944055944079807, 	4.3679526627218931978
0.6464646464646465196, 	-0.33699710884450595483, 	4.2567256904689241281
0.65656565656565657463, 	-0.29457725367407583406, 	4.1418537786752418484
0.66666666666666662966, 	-0.25333333333333341031, 	4.0239999999999991331
0.67676767676767679571, 	-0.21329218174855757439, 	3.9038118664098493404
0.68686868686868685074, 	-0.1744741958528887027, 	3.7819154805404231467
