s, 	 Rs, 	 dRs
0, 	-2.1999999999999997335, 	1
0.010101010101010101869, 	-2.1898771242374492907, 	1.0043735330074063938
0.020202020202020203737, 	-2.179708707368281928, 	1.009019813282096889
0.030303030303030303871, 	-2.1694919115971749157, 	1.0139554040848630656
0.040404040404040407475, 	-2.1592237264184617196, 	1.0191979510780440066
0.050505050505050504139, 	-2.1489009573017039401, 	1.0247662586947505758
0.060606060606060607743, 	-2.1385202135774217247, 	1.030680372207007478
0.070707070707070704407, 	-2.1280778954632699751, 	1.0369616659250056045
0.08080808080808081495, 	-2.1175701801664104096, 	1.0436329379901987391
0.090909090909090911614, 	-2.1069930069930071781, 	1.050718512256973769
0.10101010101010100828, 	-2.0963420613906049716, 	1.0582443477909591056
0.11111111111111110494, 	-2.0856127578436467473, 	1.066238156546542637
0.12121212121212121549, 	-2.074800221536514222, 	1.0747295298215953085
0.13131313131313132603, 	-2.0638992686922645881, 	1.0837500741234207258
0.14141414141414140881, 	-2.0529043854886550591, 	1.0933335571161124644
0.15151515151515151936, 	-2.0418097054460693229, 	1.1035160643552250903
0.1616161616161616299, 	-2.030608985174686687, 	1.1143361675501892716
0.17171717171717171269, 	-2.0192955783605723852, 	1.1258351051272654786
0.18181818181818182323, 	-2.007862407862407661, 	1.1380569758948135828
0.19191919191919190602, 	-1.9963019357823665878, 	1.1510489466367272993
0.20202020202020201656, 	-1.9846061313662017866, 	1.1648614744771361718
0.2121212121212121271, 	-1.9727664365790376078, 	1.1795485448675622209
0.22222222222222220989, 	-1.960773729194781545, 	1.1951679260436982588
0.23232323232323232043, 	-1.9486182832285867672, 	1.2117814407793099374
0.24242424242424243097, 	-1.9362897265336289632, 	1.2294552562250360417
0.25252525252525254151, 	-1.9237769953758037111, 	1.2482601925547975874
0.26262626262626265206, 	-1.9110682857931127199, 	1.2682720510455927077
0.27272727272727270709, 	-1.8981510015408320502, 	1.289571962079862022
0.28282828282828281763, 	-1.8850116984195195435, 	1.3122467533738668699
0.29292929292929292817, 	-1.8716360247810255313, 	1.3363893384892449046
0.30303030303030303871, 	-1.8580086580086576653, 	1.3620991253644314511
0.31313131313131314926, 	-1.8441132367722907759, 	1.3894824441915871738
