s, 	 Rs, 	 dRs
0, 	-0.10000000000000000555, 	1
0.010101010101010101869, 	-0.089849011244040460911, 	1.0099966468740715353
0.020202020202020203737, 	-0.079593928530098737029, 	1.0206167160733643495
0.030303030303030303871, 	-0.069228265468866984067, 	1.0318980664796870705
0.040404040404040407475, 	-0.058745140904536467807, 	1.0438810310355293165
0.050505050505050504139, 	-0.048137253053245593337, 	1.0566085913022871257
0.060606060606060607743, 	-0.037396851813327788849, 	1.0701265650445883626
0.070707070707070704407, 	-0.026515709110851347352, 	1.0844838078285841121
0.08080808080808081495, 	-0.015485087133613812532, 	1.0997324296918828956
0.090909090909090911614, 	-0.0042957042957042987363, 	1.1159280280159400434
0.10101010101010100828, 	0.0070623012370585082353, 	1.1331299378079067175
0.11111111111111110494, 	0.018599410643092378209, 	1.1514015006778117733
0.12121212121212121549, 	0.030326766358097948656, 	1.1708103538779321973
0.13131313131313132603, 	0.042256217015083322175, 	1.1914287408535331192
0.14141414141414140881, 	0.054400365636320675844, 	1.2133338448368287121
0.15151515151515151936, 	0.066772621318075861541, 	1.2366081470976575396
0.1616161616161616299, 	0.079387254665651107999, 	1.2613398115432898905
0.17171717171717171269, 	0.09225945725375599149, 	1.2876230974337496971
0.18181818181818182323, 	0.10540540540540541126, 	1.3155588020452886333
0.19191919191919190602, 	0.11884232860134412435, 	1.3452547351696626521
0.20202020202020201656, 	0.13258858285127986254, 	1.3768262273763114401
0.2121212121212121271, 	0.14666372937778432428, 	1.4103966739829993937
0.22222222222222220989, 	0.16108861898335580243, 	1.4460981166713107182
0.23232323232323232043, 	0.17588548249050228733, 	1.4840718646384227775
0.24242424242424243097, 	0.19107802766339351819, 	1.5244691570857968888
0.25252525252525254151, 	0.20669154303712400367, 	1.567451868696680517
0.26262626262626265206, 	0.22275300909626227774, 	1.6131932595327835855
0.27272727272727270709, 	0.23929121725731888892, 	1.6618787704682560502
0.28282828282828281763, 	0.25633689711901996855, 	1.7137068648545530358
0.29292929292929292817, 	0.27392285244856418025, 	1.7688899165468456864
0.30303030303030303871, 	0.29208410636982062858, 	1.8276551436901291581
0.31313131313131314926, 	0.31085805620879031208, 	1.8902455867236280795
0.3232323232323232598, 	0.33028463843030209102, 	1.956921127871008359
0.33333333333333331483, 	0.35040650406504059156, 	2.0279595478881615733
0.34343434343434342537, 	0.37126920497422266632, 	2.10365761397723805
0.35353535353535353591, 	0.39292139122647595784, 	2.1843321904710100156
0.36363636363636364646, 	0.41541501976284589404, 	2.2703213610586017168
0.373737373737373757, 	0.43880557439551637344, 	2.3619855478603337673
0.38383838383838381203, 	0.4631522970168387987, 	2.4597086084477441936
0.39393939393939392257, 	0.48851842967937947337, 	2.5638988868080838657
0.40404040404040403311, 	0.51497146693521300698, 	2.6749901881143829385
0.41414141414141414366, 	0.54258341748220284551, 	2.7934426398045255624
0.4242424242424242542, 	0.57143107374321244762, 	2.9197433926960476569
0.43434343434343436474, 	0.60159628748565485701, 	3.0544071054460100179
0.44444444444444441977, 	0.63316624895572259923, 	3.197976143365933055
0.45454545454545453032, 	0.66623376623376617811, 	3.3510204081632655182
0.46464646464646464086, 	0.70089754059164111055, 	3.5141366983373552024
0.4747474747474747514, 	0.73726243252380885274, 	3.6879474804466747528
0.48484848484848486194, 	0.77543971180334825277, 	3.8730989290429858052
0.49494949494949497248, 	0.81554728335137816053, 	4.0702580675417472378
0.50505050505050508303, 	0.85770987887170468955, 	4.280108813553487046
0.51515151515151513806, 	0.90205920205920187005, 	4.5033467002578966287
0.52525252525252530411, 	0.94873401270916823957, 	4.7406720104808259819
0.53535353535353535914, 	0.9978801322078054703, 	4.9927810227418003564
0.54545454545454541417, 	1.0496503496503493125, 	5.2603550295857983699
0.55555555555555558023, 	1.1042042042042041761, 	5.5440467494521543657
0.56565656565656563526, 	1.1617076153190086796, 	5.8444637163415915637
0.57575757575757580131, 	1.2223323280195321772, 	6.1621481997259737184
0.58585858585858585634, 	1.2862551358734566342, 	6.4975531847841985211
0.59595959595959591137, 	1.353656839427589853, 	6.8510139358591448655
0.60606060606060607743, 	1.4247208931419459432, 	7.2227146814404425967
0.61616161616161613246, 	1.4996316893954686478, 	7.6126500063651008077
0.62626262626262629851, 	1.5785724243691623414, 	8.0205806277933753279
0.63636363636363635354, 	1.6617224880382772678, 	8.4459833795013850022
0.6464646464646465196, 	1.7492543197792191911, 	8.8879954496792876739
0.65656565656565657463, 	1.8413296730369901333, 	9.3453532275492001702
0.66666666666666662966, 	1.9380952380952378711, 	9.8163265306122440279
0.67676767676767679571, 	2.039677582396029365, 	10.298649522204275542
0.68686868686868685074, 	2.1461773843535820738, 	10.789450298488565849
0.6969696969696970168, 	2.2576629605406588475, 	11.285181926401325114
0.70707070707070707183, 	2.3741631187912179968, 	11.781558636705142362
0.71717171717171712686, 	2.4956594122264483815, 	12.273501886247567327
0.72727272727272729291, 	2.6220779220779224516, 	12.755102040816328923
0.73737373737373734794, 	2.753280760287129425, 	13.219602401388970137
0.747474747474747514, 	2.8890575549112140763, 	13.659413071255842809
0.75757575757575756903, 	3.0291172595520419186, 	14.066162570888467442
0.76767676767676762406, 	3.173080707673152201, 	14.430794951958224814
0.77777777777777779011, 	3.3204744069912610627, 	14.743719227370286617
0.78787878787878784514, 	3.4707261292166950994, 	14.995016019935922813
0.7979797979797980112, 	3.6231628855689010926, 	15.174703291910926595
0.80808080808080806623, 	3.7770118770118763507, 	15.273058809322550999
0.81818181818181823228, 	3.9314049586776866896, 	15.280991735537192255
0.82828282828282828731, 	4.0853870512909411516, 	15.190449758861388929
0.83838383838383834235, 	4.2379287637727678373, 	14.994841986716018312
0.8484848484848485084, 	4.3879432624113476891, 	14.689452240832958196
0.85858585858585856343, 	4.5343071432891788319, 	14.271813259708132193
0.86868686868686872948, 	4.6758847555457734302, 	13.742010564639530301
0.87878787878787878451, 	4.8115551115551120631, 	13.102886124864149053
0.88888888888888883955, 	4.9402402402402403325, 	12.360116873630396128
0.8989898989898990056, 	5.0609336272714822158, 	11.522151489765420251
0.90909090909090906063, 	5.1727272727272719521, 	10.600000000000004974
0.91919191919191922668, 	5.2748359052921323098, 	9.6068834657856427839
0.92929292929292928171, 	5.3666170302533942049, 	8.5577637051838557625
0.93939393939393944777, 	5.4475857475857480949, 	7.4687839632894528208
0.9494949494949495028, 	5.5174236309829529645, 	6.3566591819146509579
0.95959595959595955783, 	5.5759813705921494886, 	5.2380580157051204182
0.96969696969696972388, 	5.6232753062540297151, 	4.1290176550475301553
0.97979797979797977892, 	5.659478369257181285, 	3.0444272179389377797
0.98989898989898994497, 	5.6849062709474615929, 	1.9976069414407520153
1, 	5.7000000000000010658, 	1
