s, 	 Rs, 	 dRs
0, 	-3.5, 	1
0.010101010101010101869, 	-3.4898490112440403443, 	1.0099966468740715353
0.020202020202020203737, 	-3.4795939285300985233, 	1.0206167160733643495
0.030303030303030303871, 	-3.4692282654688670895, 	1.0318980664796870705
0.040404040404040407475, 	-3.4587451409045364414, 	1.0438810310355293165
0.050505050505050504139, 	-3.4481372530532454768, 	1.0566085913022871257
0.060606060606060607743, 	-3.4373968518133279915, 	1.0701265650445883626
0.070707070707070704407, 	-3.4265157091108511267, 	1.0844838078285841121
0.08080808080808081495, 	-3.4154850871336139839, 	1.0997324296918828956
0.090909090909090911614, 	-3.4042957042957042724, 	1.1159280280159400434
0.10101010101010100828, 	-3.3929376987629416007, 	1.1331299378079067175
0.11111111111111110494, 	-3.3814005893569074601, 	1.1514015006778117733
0.12121212121212121549, 	-3.3696732336419024101, 	1.1708103538779321973
0.13131313131313132603, 	-3.3577437829849166029, 	1.1914287408535331192
0.14141414141414140881, 	-3.3455996343636793533, 	1.2133338448368287121
0.15151515151515151936, 	-3.3332273786819244243, 	1.2366081470976575396
0.1616161616161616299, 	-3.3206127453343485811, 	1.2613398115432898905
0.17171717171717171269, 	-3.3077405427462438503, 	1.2876230974337496971
0.18181818181818182323, 	-3.2945945945945949163, 	1.3155588020452886333
0.19191919191919190602, 	-3.2811576713986556619, 	1.3452547351696626521
0.20202020202020201656, 	-3.2674114171487200764, 	1.3768262273763114401
0.2121212121212121271, 	-3.2533362706222153093, 	1.4103966739829993937
0.22222222222222220989, 	-3.2389113810166438867, 	1.4460981166713107182
0.23232323232323232043, 	-3.2241145175094976238, 	1.4840718646384227775
0.24242424242424243097, 	-3.2089219723366069204, 	1.5244691570857968888
0.25252525252525254151, 	-3.1933084569628760185, 	1.567451868696680517
0.26262626262626265206, 	-3.1772469909037379665, 	1.6131932595327835855
0.27272727272727270709, 	-3.1607087827426809667, 	1.6618787704682560502
0.28282828282828281763, 	-3.1436631028809798316, 	1.7137068648545530358
0.29292929292929292817, 	-3.126077147551435953, 	1.7688899165468456864
0.30303030303030303871, 	-3.1079158936301793936, 	1.8276551436901291581
0.31313131313131314926, 	-3.0891419437912097656, 	1.8902455867236280795
0.3232323232323232598, 	-3.0697153615696981532, 	1.956921127871008359
0.33333333333333331483, 	-3.0495934959349590976, 	2.0279595478881615733
0.34343434343434342537, 	-3.0287307950257775779, 	2.10365761397723805
0.35353535353535353591, 	-3.0070786087735239533, 	2.1843321904710100156
0.36363636363636364646, 	-2.9845849802371540171, 	2.2703213610586017168
0.373737373737373757, 	-2.9611944256044835377, 	2.3619855478603337673
0.38383838383838381203, 	-2.9368477029831612235, 	2.4597086084477441936
0.39393939393939392257, 	-2.9114815703206202713, 	2.5638988868080838657
0.40404040404040403311, 	-2.8850285330647871262, 	2.6749901881143829385
0.41414141414141414366, 	-2.8574165825177972877, 	2.7934426398045255624
0.4242424242424242542, 	-2.8285689262567874636, 	2.9197433926960476569
0.43434343434343436474, 	-2.7984037125143448321, 	3.0544071054460100179
0.44444444444444441977, 	-2.766833751044277534, 	3.197976143365933055
0.45454545454545453032, 	-2.733766233766233622, 	3.3510204081632655182
0.46464646464646464086, 	-2.6991024594083588006, 	3.5141366983373552024
0.4747474747474747514, 	-2.6627375674761908364, 	3.6879474804466747528
0.48484848484848486194, 	-2.6245602881966516584, 	3.8730989290429858052
0.49494949494949497248, 	-2.5844527166486219727, 	4.0702580675417472378
0.50505050505050508303, 	-2.5422901211282953327, 	4.280108813553487046
0.51515151515151513806, 	-2.4979407979407981522, 	4.5033467002578966287
0.52525252525252530411, 	-2.4512659872908315606, 	4.7406720104808259819
0.53535353535353535914, 	-2.4021198677921944409, 	4.9927810227418003564
0.54545454545454541417, 	-2.3503496503496505987, 	5.2603550295857983699
0.55555555555555558023, 	-2.2957957957957955131, 	5.5440467494521543657
0.56565656565656563526, 	-2.2382923846809914536, 	5.8444637163415915637
0.57575757575757580131, 	-2.1776676719804681781, 	6.1621481997259737184
0.58585858585858585634, 	-2.1137448641265432769, 	6.4975531847841985211
0.59595959595959591137, 	-2.0463431605724098361, 	6.8510139358591448655
0.60606060606060607743, 	-1.975279106858053968, 	7.2227146814404425967
0.61616161616161613246, 	-1.9003683106045314855, 	7.6126500063651008077
0.62626262626262629851, 	-1.8214275756308375698, 	8.0205806277933753279
0.63636363636363635354, 	-1.7382775119617228654, 	8.4459833795013850022
0.6464646464646465196, 	-1.65074568022078072, 	8.8879954496792876739
0.65656565656565657463, 	-1.5586703269630097779, 	9.3453532275492001702
