s, 	 Rs, 	 dRs
0, 	-0.4000000000000000222, 	1
0.010101010101010101869, 	-0.38986775616655888754, 	1.00624673347892446
0.020202020202020203737, 	-0.37967049653015871868, 	1.0128755933568165393
0.030303030303030303871, 	-0.36940428677014047754, 	1.0199012968471148355
0.040404040404040407475, 	-0.35906504487413681836, 	1.027338349901316672
0.050505050505050504139, 	-0.34864854389738714202, 	1.035200920826119475
0.060606060606060607743, 	-0.33815041607787721389, 	1.0435026980590083046
0.070707070707070704407, 	-0.3275661584718321806, 	1.0522567312250752369
0.08080808080808081495, 	-0.31689114028239256937, 	1.0614752547152979112
0.090909090909090911614, 	-0.30612061206120616541, 	1.0711694931869424341
0.10101010101010100828, 	-0.29524971696770724305, 	1.0813494485963250913
0.11111111111111110494, 	-0.28427350427350428497, 	1.0920236686390532022
0.12121212121212121549, 	-0.27318694529896403456, 	1.1031989967989608292
0.13131313131313132603, 	-0.26198495196512383565, 	1.1148803045996167338
0.14141414141414140881, 	-0.25066239813578450324, 	1.1270702071159064417
0.15151515151515151936, 	-0.23921414391130091381, 	1.139768763340723412
0.1616161616161616299, 	-0.22763506301644859109, 	1.1529731636142468432
0.17171717171717171269, 	-0.21592007339904104035, 	1.1666774070090322191
0.18181818181818182323, 	-0.20406417112299465866, 	1.1808719723183391803
0.19191919191919190602, 	-0.19206246759863093709, 	1.1955434871089685167
0.20202020202020201656, 	-0.17991023014362872434, 	1.2106744001599352156
0.2121212121212121271, 	-0.16760292580982238952, 	1.2262426634958383254
0.22222222222222220989, 	-0.15513626834381558095, 	1.2422214311142756316
0.23232323232323232043, 	-0.14250626807327845813, 	1.258578782369391913
0.24242424242424243097, 	-0.12970928442626558641, 	1.2752774787717418015
0.25252525252525254151, 	-0.11674208069880906424, 	1.2922747636551639161
0.26262626262626265206, 	-0.10360188058772570874, 	1.3095222146961906784
0.27272727272727270709, 	-0.090286425902864314574, 	1.3269656595984238301
