s, 	 Rs, 	 dRs
0, 	-0.10000000000000000555, 	1
0.010101010101010101869, 	-0.089399250180093495222, 	1.0999477356627926916
0.020202020202020203737, 	-0.077758247512842215698, 	1.2060094937090659606
0.030303030303030303871, 	-0.065014042867701404838, 	1.3184207495538369237
0.040404040404040407475, 	-0.051101324046794682765, 	1.4374135984210656414
0.050505050505050504139, 	-0.035952459933951873283, 	1.5632147332179100463
0.060606060606060607743, 	-0.019497566336944577303, 	1.6960431689441328729
0.070707070707070704407, 	-0.0016645961553749741291, 	1.8361076996012029028
0.08080808080808081495, 	0.017620543360507417985, 	1.9836040754447670231
0.090909090909090911614, 	0.03843384338433844527, 	2.1387118909910798337
0.10101010101010100828, 	0.060853013365168948101, 	2.3015911775412014606
0.11111111111111110494, 	0.084957264957264938543, 	2.4723786982248521227
0.12121212121212121549, 	0.11082705703475834169, 	2.6511839487833741558
0.13131313131313132603, 	0.13854379886104936648, 	2.8380848735938677407
0.14141414141414140881, 	0.16818950861532722119, 	3.0331233138545039552
0.15151515151515151936, 	0.19984642469191293834, 	3.2363002134515750363
0.1616161616161616299, 	0.23359656749439819401, 	3.4475706178279486025
0.17171717171717171269, 	0.26952124985776770849, 	3.6668385121445141728
0.18181818181818182323, 	0.30770053475935832399, 	3.8939515570934273292
0.19191919191919190602, 	0.34821263963402698804, 	4.1286957937434962673
0.20202020202020201656, 	0.39113328739891001229, 	4.3707904025589625618
0.2121212121212121271, 	0.43653500522466043288, 	4.6198826159334132058
0.22222222222222220989, 	0.48448637316561848909, 	4.8755428978284083286
0.23232323232323232043, 	0.5350512259790609626, 	5.1372605179102714956
0.24242424242424243097, 	0.5882878128161147524, 	5.4044396603478697116
0.25252525252525254151, 	0.64424792094026661626, 	5.6763962184826226576
0.26262626262626265206, 	0.70297597120244936786, 	5.9523554351390499662
0.27272727272727270709, 	0.76450809464508084901, 	6.2314505535747795051
0.28282828282828281763, 	0.82887120128321845058, 	6.51272264510306087
0.29292929292929292817, 	0.89608205377235172762, 	6.7951217753917374509
0.30303030303030303871, 	0.96614636026400735336, 	7.0775096615365962194
0.31313131313131314926, 	1.039057902209200579, 	7.3586639555209689689
0.3232323232323232598, 	1.1147977141265734691, 	7.6372842660796589342
0.33333333333333331483, 	1.193333333333333135, 	7.9119999999999999218
0.34343434343434342537, 	1.2746181382680172867, 	8.1813800655434114617
0.35353535353535353591, 	1.3585907942419879202, 	8.4439444353575474622
0.36363636363636364646, 	1.4451748251748255392, 	8.6981775147929010217
0.373737373737373757, 	1.5342783290414216957, 	8.942543205209101842
0.38383838383838381203, 	1.6257938533446762985, 	9.1755014923778634994
0.39393939393939392257, 	1.7195984449060019994, 	9.3955263296073319168
0.40404040404040403311, 	1.8155538856385140534, 	9.6011245262295012992
0.41414141414141414366, 	1.913507122763812518, 	9.7908552973682869691
0.4242424242424242542, 	2.0132908982101085371, 	9.9633500833201722457
0.43434343434343436474, 	2.1147245777737255779, 	10.117332209265713416
0.44444444444444441977, 	2.2176151761517615135, 	10.251635930993456824
0.45454545454545453032, 	2.3217585692995532654, 	10.365224402042466423
0.46464646464646464086, 	2.4269408808901191676, 	10.457206103738826641
0.4747474747474747514, 	2.5329400251240268283, 	10.526849302844045297
0.48484848484848486194, 	2.6395273839310537944, 	10.57359414190724678
0.49494949494949497248, 	2.7464695928886913023, 	10.597062023952656062
0.50505050505050508303, 	2.8535304071113092306, 	10.597062023952656062
