s, 	 Rs, 	 dRs
0, 	-0.5, 	1
0.010101010101010101869, 	-0.48984901124404045536, 	1.0099966468740715353
0.020202020202020203737, 	-0.47959392853009874536, 	1.0206167160733643495
0.030303030303030303871, 	-0.46922826546886697852, 	1.0318980664796870705
0.040404040404040407475, 	-0.45874514090453649695, 	1.0438810310355293165
0.050505050505050504139, 	-0.44813725305324558779, 	1.0566085913022871257
0.060606060606060607743, 	-0.43739685181332776942, 	1.0701265650445883626
0.070707070707070704407, 	-0.42651570911085134874, 	1.0844838078285841121
0.08080808080808081495, 	-0.41548508713361381739, 	1.0997324296918828956
0.090909090909090911614, 	-0.40429570429570427237, 	1.1159280280159400434
0.10101010101010100828, 	-0.39293769876294148968, 	1.1331299378079067175
0.11111111111111110494, 	-0.38140058935690762665, 	1.1514015006778117733
0.12121212121212121549, 	-0.36967323364190202151, 	1.1708103538779321973
0.13131313131313132603, 	-0.3577437829849166584, 	1.1914287408535331192
0.14141414141414140881, 	-0.34559963436367929779, 	1.2133338448368287121
0.15151515151515151936, 	-0.33322737868192414679, 	1.2366081470976575396
0.1616161616161616299, 	-0.32061274533434885869, 	1.2613398115432898905
0.17171717171717171269, 	-0.30774054274624401684, 	1.2876230974337496971
0.18181818181818182323, 	-0.29459459459459458319, 	1.3155588020452886333
0.19191919191919190602, 	-0.28115767139865582847, 	1.3452547351696626521
0.20202020202020201656, 	-0.26741141714872018742, 	1.3768262273763114401
0.2121212121212121271, 	-0.25333627062221564241, 	1.4103966739829993937
0.22222222222222220989, 	-0.23891138101664419202, 	1.4460981166713107182
0.23232323232323232043, 	-0.22411451750949770712, 	1.4840718646384227775
0.24242424242424243097, 	-0.20892197233660647626, 	1.5244691570857968888
0.25252525252525254151, 	-0.19330845696287601854, 	1.567451868696680517
0.26262626262626265206, 	-0.17724699090373768895, 	1.6131932595327835855
0.27272727272727270709, 	-0.16070878274268107777, 	1.6618787704682560502
0.28282828282828281763, 	-0.14366310288097999814, 	1.7137068648545530358
0.29292929292929292817, 	-0.1260771475514358142, 	1.7688899165468456864
0.30303030303030303871, 	-0.10791589363017933811, 	1.8276551436901291581
0.31313131313131314926, 	-0.089141943791209682368, 	1.8902455867236280795
0.3232323232323232598, 	-0.069715361569697903432, 	1.956921127871008359
0.33333333333333331483, 	-0.049593495934959389015, 	2.0279595478881615733
0.34343434343434342537, 	-0.028730795025777328133, 	2.10365761397723805
0.35353535353535353591, 	-0.007078608773524008857, 	2.1843321904710100156
0.36363636363636364646, 	0.015415019762845871831, 	2.2703213610586017168
0.373737373737373757, 	0.038805574395516406749, 	2.3619855478603337673
0.38383838383838381203, 	0.063152297016838804256, 	2.4597086084477441936
0.39393939393939392257, 	0.088518429679379451169, 	2.5638988868080838657
0.40404040404040403311, 	0.11497146693521306804, 	2.6749901881143829385
0.41414141414141414366, 	0.14258341748220287881, 	2.7934426398045255624
0.4242424242424242542, 	0.17143107374321253644, 	2.9197433926960476569
0.43434343434343436474, 	0.20159628748565489031, 	3.0544071054460100179
0.44444444444444441977, 	0.23316624895572257703, 	3.197976143365933055
0.45454545454545453032, 	0.26623376623376621142, 	3.3510204081632655182
0.46464646464646464086, 	0.30089754059164108835, 	3.5141366983373552024
0.4747474747474747514, 	0.33726243252380883053, 	3.6879474804466747528
0.48484848484848486194, 	0.37543971180334823057, 	3.8730989290429858052
0.49494949494949497248, 	0.41554728335137819384, 	4.0702580675417472378
0.50505050505050508303, 	0.45770987887170466735, 	4.280108813553487046
0.51515151515151513806, 	0.50205920205920184785, 	4.5033467002578966287
0.52525252525252530411, 	0.54873401270916821737, 	4.7406720104808259819
0.53535353535353535914, 	0.5978801322078054481, 	4.9927810227418003564
0.54545454545454541417, 	0.64965034965034940129, 	5.2603550295857983699
0.55555555555555558023, 	0.70420420420420415386, 	5.5440467494521543657
0.56565656565656563526, 	0.76170761531900865737, 	5.8444637163415915637
0.57575757575757580131, 	0.82233232801953215496, 	6.1621481997259737184
0.58585858585858585634, 	0.88625513587345650102, 	6.4975531847841985211
0.59595959595959591137, 	0.95365683942758983083, 	6.8510139358591448655
0.60606060606060607743, 	1.024720893141946032, 	7.2227146814404425967
0.61616161616161613246, 	1.0996316893954687366, 	7.6126500063651008077
0.62626262626262629851, 	1.1785724243691622082, 	8.0205806277933753279
0.63636363636363635354, 	1.2617224880382771346, 	8.4459833795013850022
0.6464646464646465196, 	1.34925431977921928, 	8.8879954496792876739
0.65656565656565657463, 	1.4413296730369900001, 	9.3453532275492001702
0.66666666666666662966, 	1.5380952380952379599, 	9.8163265306122440279
0.67676767676767679571, 	1.6396775823960290097, 	10.298649522204275542
0.68686868686868685074, 	1.7461773843535819406, 	10.789450298488565849
0.6969696969696970168, 	1.8576629605406587142, 	11.285181926401325114
0.70707070707070707183, 	1.9741631187912180856, 	11.781558636705142362
0.71717171717171712686, 	2.0956594122264484703, 	12.273501886247567327
0.72727272727272729291, 	2.2220779220779220964, 	12.755102040816328923
0.73737373737373734794, 	2.3532807602871295138, 	13.219602401388970137
0.747474747474747514, 	2.489057554911213721, 	13.659413071255842809
0.75757575757575756903, 	2.6291172595520420074, 	14.066162570888467442
0.76767676767676762406, 	2.7730807076731522898, 	14.430794951958224814
0.77777777777777779011, 	2.9204744069912607074, 	14.743719227370286617
0.78787878787878784514, 	3.0707261292166947442, 	14.995016019935922813
0.7979797979797980112, 	3.2231628855689011814, 	15.174703291910926595
0.80808080808080806623, 	3.3770118770118759954, 	15.273058809322550999
0.81818181818181823228, 	3.5314049586776867784, 	15.280991735537192255
0.82828282828282828731, 	3.6853870512909412405, 	15.190449758861388929
0.83838383838383834235, 	3.837928763772767482, 	14.994841986716018312
0.8484848484848485084, 	3.987943262411348222, 	14.689452240832958196
0.85858585858585856343, 	4.1343071432891793648, 	14.271813259708132193
0.86868686868686872948, 	4.2758847555457730749, 	13.742010564639530301
0.87878787878787878451, 	4.4115551115551117078, 	13.102886124864149053
0.88888888888888883955, 	4.5402402402402408654, 	12.360116873630396128
0.8989898989898990056, 	4.6609336272714818605, 	11.522151489765420251
0.90909090909090906063, 	4.772727272727272485, 	10.600000000000004974
0.91919191919191922668, 	4.8748359052921328427, 	9.6068834657856427839
0.92929292929292928171, 	4.9666170302533938496, 	8.5577637051838557625
0.93939393939393944777, 	5.0475857475857477397, 	7.4687839632894528208
0.9494949494949495028, 	5.1174236309829534974, 	6.3566591819146509579
0.95959595959595955783, 	5.1759813705921491334, 	5.2380580157051204182
0.96969696969696972388, 	5.2232753062540293598, 	4.1290176550475301553
0.97979797979797977892, 	5.2594783692571818179, 	3.0444272179389377797
0.98989898989898994497, 	5.2849062709474612376, 	1.9976069414407520153
1, 	5.3000000000000007105, 	1
