s, 	 Rs, 	 dRs
0, 	-2.1999999999999997335, 	1
0.010101010101010101869, 	-2.1896803537719722321, 	1.0437271343524718858
0.020202020202020203737, 	-2.1789055969232320464, 	1.090129153497716441
0.030303030303030303871, 	-2.1676481892091650217, 	1.1393090779298036264
0.040404040404040407475, 	-2.1558795565431996266, 	1.1913684493092160377
0.050505050505050504139, 	-2.143570110312012833, 	1.2464064457828354371
0.060606060606060607743, 	-2.1306892761815041659, 	1.3045188864130579098
0.070707070707070704407, 	-2.1172055335452486524, 	1.3657971185755259924
0.08080808080808081495, 	-2.1030864668252324812, 	1.4303267830070853783
0.090909090909090911614, 	-2.0882988298829885387, 	1.4981864523085972607
0.10101010101010100828, 	-2.0728086248345563014, 	1.569446140174275417
0.11111111111111110494, 	-2.0565811965811966466, 	1.6441656804733726371
0.12121212121212121549, 	-2.0395813443654748909, 	1.7223929775927260266
0.13131313131313132603, 	-2.0217734516346541618, 	1.8041621321973169145
0.14141414141414140881, 	-2.0031216354353396092, 	1.8894914498113450918
0.15151515151515151936, 	-1.9835899164700154795, 	1.9783813433850636621
0.1616161616161616299, 	-1.9631424108121096062, 	2.070812145299727014
0.17171717171717171269, 	-1.9417435440963171089, 	2.1667418490632246453
0.18181818181818182323, 	-1.9193582887700533224, 	2.2661038062283740402
0.19191919191919190602, 	-1.8959524247055674628, 	2.3688044097627791729
0.20202020202020201656, 	-1.8714928231266134695, 	2.4747208011195453992
0.2121212121212121271, 	-1.8459477533960291229, 	2.5836986444708678334
0.22222222222222220989, 	-1.8192872117400418208, 	2.6955500177999285327
0.23232323232323232043, 	-1.7914832704523424578, 	2.8100514765857433908
0.24242424242424243097, 	-1.7625104455293132411, 	2.9269423514021921662
0.25252525252525254151, 	-1.7323460800431789153, 	3.0459233455861469686
0.26262626262626265206, 	-1.7009707398716553683, 	3.1666555028733336385
0.27272727272727270709, 	-1.6683686176836862725, 	3.2887596171889654784
0.28282828282828281763, 	-1.634527940347682673, 	3.4118161572325882425
0.29292929292929292817, 	-1.5994413742018684932, 	3.535365776733883969
0.30303030303030303871, 	-1.5631064219299510842, 	3.6589104769222600133
0.31313131313131314926, 	-1.5255258041471111419, 	3.7819154805404231467
0.3232323232323232598, 	-1.4867078182514423812, 	3.9038118664098497845
0.33333333333333331483, 	-1.4466666666666667673, 	4.0239999999999991331
0.34343434343434342537, 	-1.4054227463259241215, 	4.1418537786752418484
0.35353535353535353591, 	-1.3630028911554938897, 	4.2567256904689259045
0.36363636363636364646, 	-1.3194405594405593796, 	4.3679526627218931978
0.373737373737373757, 	-1.2747759583171052178, 	4.4748626522789809457
0.38383838383838381203, 	-1.2290560982526130829, 	4.5767819029153145038
0.39393939393939392257, 	-1.182334771262715023, 	4.6730427692032066034
0.40404040404040403311, 	-1.1346724477604226422, 	4.7629919802254052641
0.41414141414141414366, 	-1.0861360883362864982, 	4.8459991925986241057
0.4242424242424242542, 	-1.0367988683967137575, 	4.9214656614525740252
0.43434343434343436474, 	-0.98673981540581312544, 	4.9888328415537488425
0.44444444444444441977, 	-0.93604336043360436559, 	5.0475907198096363615
0.45454545454545453032, 	-0.88479880774962738066, 	5.0972856758935778387
0.46464646464646464086, 	-0.83309972824693634408, 	5.1375276703857348792
0.4747474747474747514, 	-0.78104328446278381559, 	5.1679965699942682633
0.48484848484848486194, 	-0.72872949680289111907, 	5.1884474370844193558
0.49494949494949497248, 	-0.67626046220210667137, 	5.1987146354792850289
0.50505050505050508303, 	-0.62373953779789315099, 	5.1987146354792850289
0.51515151515151513806, 	-0.5712705031971087033, 	5.1884474370844184676
0.52525252525252530411, 	-0.51895671553721578473, 	5.1679965699942682633
0.53535353535353535914, 	-0.46690027175306370033, 	5.1375276703857348792
0.54545454545454541417, 	-0.41520119225037277477, 	5.0972856758935760624
0.55555555555555558023, 	-0.36395663956639534575, 	5.0475907198096354733
0.56565656565656563526, 	-0.31326018459418691897, 	4.9888328415537488425
0.57575757575757580131, 	-0.26320113160328562074, 	4.9214656614525740252
0.58585858585858585634, 	-0.2138639116637134352, 	4.8459991925986241057
0.59595959595959591137, 	-0.16532755223957762425, 	4.7629919802254061523
0.60606060606060607743, 	-0.11766522873728479937, 	4.6730427692032066034
0.61616161616161613246, 	-0.070943901747386850509, 	4.5767819029153145038
0.62626262626262629851, 	-0.025224041682894493555, 	4.4748626522789800575
0.63636363636363635354, 	0.019440559440559224136, 	4.3679526627218931978
0.6464646464646465196, 	0.063002891155494067377, 	4.2567256904689241281
0.65656565656565657463, 	0.10542274632592418815, 	4.1418537786752418484
0.66666666666666662966, 	0.1466666666666666119, 	4.0239999999999991331
0.67676767676767679571, 	0.18670781825144244781, 	3.9038118664098493404
0.68686868686868685074, 	0.22552580414711131951, 	3.7819154805404231467
0.6969696969696970168, 	0.2631064219299513729, 	3.6589104769222591251
0.70707070707070707183, 	0.29944137420186878185, 	3.535365776733883969
0.71717171717171712686, 	0.33452794034768251752, 	3.4118161572325882425
0.72727272727272729291, 	0.36836861768368645009, 	3.2887596171889654784
0.73737373737373734794, 	0.40097073987165587905, 	3.1666555028733340826
0.747474747474747514, 	0.43234608004317898189, 	3.0459233455861456363
0.75757575757575756903, 	0.46251044552931330767, 	2.9269423514021921662
0.76767676767676762406, 	0.49148327045234241339, 	2.810051476585744723
0.77777777777777779011, 	0.51928721174004199845, 	2.6955500177999285327
0.78787878787878784514, 	0.54594775339602918951, 	2.5836986444708687216
0.7979797979797980112, 	0.57149282312661342509, 	2.4747208011195458432
0.80808080808080806623, 	0.59595242470556764047, 	2.3688044097627791729
0.81818181818181823228, 	0.61935828877005383308, 	2.2661038062283735961
0.82828282828282828731, 	0.6417435440963173976, 	2.1667418490632242012
0.83838383838383834235, 	0.66314241081210989481, 	2.0708121452997274581
0.8484848484848485084, 	0.68358991647001554615, 	1.9783813433850636621
0.85858585858585856343, 	0.7031216354353396758, 	1.8894914498113450918
0.86868686868686872948, 	0.72177345163465467248, 	1.8041621321973169145
0.87878787878787878451, 	0.73958134436547495749, 	1.7223929775927262487
0.88888888888888883955, 	0.75658119658119660222, 	1.6441656804733726371
0.8989898989898990056, 	0.77280862483455681211, 	1.569446140174275417
0.90909090909090906063, 	0.78829882988298827229, 	1.4981864523085968166
0.91919191919191922668, 	0.80308646682523254778, 	1.4303267830070849342
0.92929292929292928171, 	0.81720553354524949619, 	1.3657971185755259924
0.93939393939393944777, 	0.83068927618150423253, 	1.3045188864130572437
0.9494949494949495028, 	0.84357011031201301066, 	1.2464064457828356591
0.95959595959595955783, 	0.85587955654319991528, 	1.1913684493092167038
0.96969696969696972388, 	0.86764818920916486622, 	1.1393090779298031823
0.97979797979797977892, 	0.87890559692323211305, 	1.090129153497716441
0.98989898989898994497, 	0.88968035377197274283, 	1.0437271343524714418
1, 	0.9000000000000000222, 	1
