s, 	 Rs, 	 dRs
0, 	-0.5, 	1
0.010101010101010101869, 	-0.48490627094746086012, 	1.9976069414407575664
0.020202020202020203737, 	-0.45947836925718182899, 	3.0444272179389368915
0.030303030303030303871, 	-0.42327530625402964848, 	4.1290176550475337081
0.040404040404040407475, 	-0.37598137059214903344, 	5.2380580157051186418
0.050505050505050504139, 	-0.31742363098295300894, 	6.3566591819146527342
0.060606060606060607743, 	-0.24758574758574752872, 	7.4687839632894599262
0.070707070707070704407, 	-0.16661703025339386075, 	8.5577637051838557625
0.08080808080808081495, 	-0.074835905292132076649, 	9.606883465785648113
0.090909090909090911614, 	0.027272727272727448344, 	10.600000000000004974
0.10101010101010100828, 	0.1390663727285182949, 	11.522151489765422028
0.11111111111111110494, 	0.2597597597597597896, 	12.360116873630389023
0.12121212121212121549, 	0.38844488844488878065, 	13.102886124864149053
0.13131313131313132603, 	0.52411524445422785767, 	13.742010564639532078
0.14141414141414140881, 	0.66569285671082090161, 	14.271813259708132193
0.15151515151515151936, 	0.81205673758865259959, 	14.689452240832958196
0.1616161616161616299, 	0.96207123622723222933, 	14.994841986716021864
0.17171717171717171269, 	1.1146129487090588039, 	15.190449758861387153
0.18181818181818182323, 	1.2685950413223148203, 	15.280991735537194032
0.19191919191919190602, 	1.4229881229881233828, 	15.273058809322550999
0.20202020202020201656, 	1.5768371144310997511, 	15.174703291910921266
0.2121212121212121271, 	1.7292738707833053002, 	14.995016019935922813
0.22222222222222220989, 	1.8795255930087395591, 	14.743719227370286617
0.23232323232323232043, 	2.0269192923268470885, 	14.43079495195823192
0.24242424242424243097, 	2.1708827404479587031, 	14.066162570888467442
0.25252525252525254151, 	2.3109424450887878777, 	13.659413071255842809
0.26262626262626265206, 	2.4467192397128707526, 	13.219602401388970137
0.27272727272727270709, 	2.577922077922077726, 	12.755102040816328923
0.28282828282828281763, 	2.704340587773550908, 	12.273501886247567327
0.29292929292929292817, 	2.8258368812087817368, 	11.781558636705144139
0.30303030303030303871, 	2.9423370394593417743, 	11.285181926401325114
0.31313131313131314926, 	3.0538226156464185479, 	10.789450298488565849
0.3232323232323232598, 	3.1603224176039717008, 	10.298649522204268436
0.33333333333333331483, 	3.2619047619047623066, 	9.8163265306122458043
0.34343434343434342537, 	3.3586703269630100444, 	9.3453532275492001702
0.35353535353535353591, 	3.4507456802207809865, 	8.8879954496792858976
0.36363636363636364646, 	3.5382775119617231319, 	8.4459833795013850022
0.373737373737373757, 	3.6214275756308387244, 	8.0205806277933735515
0.38383838383838381203, 	3.7003683106045315299, 	7.612650006365102584
0.39393939393939392257, 	3.7752791068580546785, 	7.2227146814404425967
0.40404040404040403311, 	3.8463431605724096585, 	6.8510139358591493064
0.41414141414141414366, 	3.9137448641265439875, 	6.4975531847841994093
0.4242424242424242542, 	3.9776676719804684446, 	6.1621481997259710539
0.43434343434343436474, 	4.038292384680991276, 	5.844463716341588011
0.44444444444444441977, 	4.0957957957957962236, 	5.544046749452156142
0.45454545454545453032, 	4.1503496503496508652, 	5.2603550295857965935
0.46464646464646464086, 	4.2021198677921951514, 	4.9927810227418021327
0.4747474747474747514, 	4.2512659872908322711, 	4.7406720104808268701
0.48484848484848486194, 	4.2979407979407984186, 	4.5033467002578966287
0.49494949494949497248, 	4.3422901211282960432, 	4.2801088135534843815
0.50505050505050508303, 	4.3844527166486217951, 	4.0702580675417472378
0.51515151515151513806, 	4.4245602881966519249, 	3.8730989290429835847
0.52525252525252530411, 	4.462737567476191991, 	3.6879474804466725324
0.53535353535353535914, 	4.4991024594083599553, 	3.5141366983373565347
0.54545454545454541417, 	4.5337662337662330003, 	3.3510204081632664064
0.55555555555555558023, 	4.5668337510442782445, 	3.197976143365933055
0.56565656565656563526, 	4.5984037125143455427, 	3.0544071054460100179
0.57575757575757580131, 	4.6285689262567881741, 	2.9197433926960445483
0.58585858585858585634, 	4.6574165825177979983, 	2.7934426398045220097
0.59595959595959591137, 	4.6850285330647869486, 	2.6749901881143856031
0.60606060606060607743, 	4.7114815703206209818, 	2.5638988868080847539
0.61616161616161613246, 	4.7368477029831606018, 	2.4597086084477464141
0.62626262626262629851, 	4.7611944256044838042, 	2.3619855478603337673
0.63636363636363635354, 	4.7845849802371542836, 	2.2703213610585999405
0.6464646464646465196, 	4.8070786087735237757, 	2.1843321904710077952
0.65656565656565657463, 	4.8287307950257778444, 	2.1036576139772398264
0.66666666666666662966, 	4.8495934959349602522, 	2.0279595478881633497
0.67676767676767679571, 	4.8697153615696979756, 	1.9569211278710056945
0.68686868686868685074, 	4.8891419437912100321, 	1.8902455867236280795
0.6969696969696970168, 	4.9079158936301796601, 	1.8276551436901293801
0.70707070707070707183, 	4.9260771475514353313, 	1.7688899165468461305
0.71717171717171712686, 	4.9436631028809800981, 	1.713706864854553924
0.72727272727272729291, 	4.9607087827426825655, 	1.6618787704682567163
0.73737373737373734794, 	4.9772469909037377889, 	1.6131932595327826974
0.747474747474747514, 	4.993308456962876285, 	1.5674518686966776304
0.75757575757575756903, 	5.0089219723366067427, 	1.524469157085797999
0.76767676767676762406, 	5.0241145175094974462, 	1.4840718646384225554
0.77777777777777779011, 	5.0389113810166445973, 	1.4460981166713131607
0.78787878787878784514, 	5.0533362706222160199, 	1.4103966739830000598
0.7979797979797980112, 	5.0674114171487207869, 	1.3768262273763114401
0.80808080808080806623, 	5.0811576713986559284, 	1.345254735169662208
0.81818181818181823228, 	5.0945945945945947386, 	1.3155588020452884113
0.82828282828282828731, 	5.1077405427462441168, 	1.2876230974337516955
0.83838383838383834235, 	5.1206127453343492917, 	1.2613398115432910007
0.8484848484848485084, 	5.1332273786819246908, 	1.2366081470976573176
0.85858585858585856343, 	5.1455996343636805079, 	1.2133338448368287121
0.86868686868686872948, 	5.1577437829849159812, 	1.1914287408535328971
0.87878787878787878451, 	5.1696732336419017884, 	1.1708103538779330854
0.88888888888888883955, 	5.1814005893569081707, 	1.1514015006778115513
0.8989898989898990056, 	5.1929376987629414231, 	1.1331299378079049411
0.90909090909090906063, 	5.2042957042957045388, 	1.115928028015938267
0.91919191919191922668, 	5.2154850871336151386, 	1.0997324296918820075
0.92929292929292928171, 	5.2265157091108509491, 	1.084483807828583668
0.93939393939393944777, 	5.2373968518133278138, 	1.0701265650445881406
0.9494949494949495028, 	5.2481372530532466314, 	1.0566085913022866816
0.95959595959595955783, 	5.2587451409045362638, 	1.0438810310355295385
0.96969696969696972388, 	5.269228265468867356, 	1.0318980664796864044
0.97979797979797977892, 	5.2795939285300992339, 	1.0206167160733639054
0.98989898989898994497, 	5.2898490112440406108, 	1.0099966468740708692
1, 	5.3000000000000007105, 	1
