s, 	 Rs, 	 dRs
0, 	-1.2000000000000001776, 	1
0.010101010101010101869, 	-1.189867756166558932, 	1.00624673347892446
0.020202020202020203737, 	-1.1796704965301587631, 	1.0128755933568165393
0.030303030303030303871, 	-1.169404286770140633, 	1.0199012968471148355
0.040404040404040407475, 	-1.1590650448741368628, 	1.027338349901316672
0.050505050505050504139, 	-1.1486485438973872419, 	1.035200920826119475
0.060606060606060607743, 	-1.1381504160778772583, 	1.0435026980590083046
0.070707070707070704407, 	-1.1275661584718321695, 	1.0522567312250752369
0.08080808080808081495, 	-1.1168911402823926693, 	1.0614752547152979112
0.090909090909090911614, 	-1.1061206120612061543, 	1.0711694931869424341
0.10101010101010100828, 	-1.095249716967707343, 	1.0813494485963250913
0.11111111111111110494, 	-1.0842735042735043294, 	1.0920236686390532022
0.12121212121212121549, 	-1.0731869452989639679, 	1.1031989967989608292
0.13131313131313132603, 	-1.0619849519651238801, 	1.1148803045996167338
0.14141414141414140881, 	-1.0506623981357845476, 	1.1270702071159064417
0.15151515151515151936, 	-1.0392141439113009582, 	1.139768763340723412
0.1616161616161616299, 	-1.02763506301644858, 	1.1529731636142468432
0.17171717171717171269, 	-1.0159200733990410015, 	1.1666774070090322191
0.18181818181818182323, 	-1.0040641711229947308, 	1.1808719723183391803
0.19191919191919190602, 	-0.99206246759863092599, 	1.1955434871089685167
0.20202020202020201656, 	-0.97991023014362876875, 	1.2106744001599352156
0.2121212121212121271, 	-0.96760292580982243393, 	1.2262426634958383254
0.22222222222222220989, 	-0.9551362683438155976, 	1.2422214311142756316
0.23232323232323232043, 	-0.94250626807327841927, 	1.258578782369391913
0.24242424242424243097, 	-0.92970928442626554755, 	1.2752774787717418015
0.25252525252525254151, 	-0.91674208069880913641, 	1.2922747636551639161
0.26262626262626265206, 	-0.90360188058772572539, 	1.3095222146961906784
0.27272727272727270709, 	-0.89028642590286433123, 	1.3269656595984238301
0.28282828282828281763, 	-0.87679403476828388087, 	1.3445451653189413044
0.29292929292929292817, 	-0.86312365951801595099, 	1.3621951109619836462
0.30303030303030303871, 	-0.8492749433925903535, 	1.3798443538460372082
0.31313131313131314926, 	-0.83524827505131893357, 	1.3974164972200604495
0.3232323232323232598, 	-0.82104483983678622216, 	1.4148302666299787944
0.33333333333333331483, 	-0.80666666666666664298, 	1.4319999999999999396
0.34343434343434342537, 	-0.79211666938855196385, 	1.4488362540964632164
0.35353535353535353591, 	-0.77739868142048185184, 	1.4652465272098467164
0.36363636363636364646, 	-0.76251748251748252549, 	1.4811360946745564249
0.373737373737373757, 	-0.74747881655612324892, 	1.4964089503255688651
0.38383838383838381203, 	-0.73228939931747305536, 	1.5109688432736163577
0.39393939393939392257, 	-0.71695691537519312675, 	1.5247203956004582448
0.40404040404040403311, 	-0.70149000335971412046, 	1.5375702828893438312
0.41414141414141414366, 	-0.68589822906968600513, 	1.5494284560855180466
0.4242424242424242542, 	-0.67019204613459548714, 	1.5602093802075107654
0.43434343434343436474, 	-0.65438274419217246081, 	1.5698332630791069775
0.44444444444444441977, 	-0.63848238482384833681, 	1.5782272456870911626
0.45454545454545453032, 	-0.62250372578241441879, 	1.5853265251276540404
0.46464646464646464086, 	-0.60646013433830692207, 	1.5910753814836766651
0.4747474747474747514, 	-0.59036549085399081527, 	1.5954280814277528311
0.48484848484848486194, 	-0.57423408395885466859, 	1.5983496338692029237
0.49494949494949497248, 	-0.55808049892930533531, 	1.5998163764970410039
0.50505050505050508303, 	-0.54191950107069475351, 	1.5998163764970410039
0.51515151515151513806, 	-0.52576591604114542022, 	1.5983496338692027017
0.52525252525252530411, 	-0.50963450914600916253, 	1.5954280814277528311
0.53535353535353535914, 	-0.49353986566169311123, 	1.5910753814836766651
0.54545454545454541417, 	-0.47749627421758578105, 	1.5853265251276540404
0.55555555555555558023, 	-0.46151761517615175201, 	1.5782272456870911626
0.56565656565656563526, 	-0.44561725580782762801, 	1.5698332630791069775
0.57575757575757580131, 	-0.42980795386540443515, 	1.5602093802075107654
0.58585858585858585634, 	-0.41410177093031408369, 	1.5494284560855180466
0.59595959595959591137, 	-0.39850999664028607938, 	1.5375702828893440532
0.60606060606060607743, 	-0.38304308462480696207, 	1.5247203956004582448
0.61616161616161613246, 	-0.36771060068252719999, 	1.5109688432736163577
0.62626262626262629851, 	-0.35252118344387672888, 	1.4964089503255686431
0.63636363636363635354, 	-0.33748251748251756332, 	1.4811360946745564249
0.6464646464646465196, 	-0.32260131857951812595, 	1.4652465272098464943
0.65656565656565657463, 	-0.30788333061144801395, 	1.4488362540964632164
0.66666666666666662966, 	-0.29333333333333339032, 	1.4319999999999999396
0.67676767676767679571, 	-0.27895516016321386665, 	1.4148302666299785724
0.68686868686868685074, 	-0.26475172494868109974, 	1.3974164972200604495
0.6969696969696970168, 	-0.25072505660740951328, 	1.3798443538460372082
0.70707070707070707183, 	-0.23687634048198413783, 	1.3621951109619836462
0.71717171717171712686, 	-0.22320596523171640224, 	1.3445451653189413044
0.72727272727272729291, 	-0.20971357409713570208, 	1.3269656595984238301
0.73737373737373734794, 	-0.19639811941227430792, 	1.3095222146961906784
0.747474747474747514, 	-0.18325791930119084139, 	1.2922747636551636941
0.75757575757575756903, 	-0.170290715573734458, 	1.2752774787717418015
0.76767676767676762406, 	-0.15749373192672172506, 	1.258578782369392135
0.77777777777777779011, 	-0.14486373165618449121, 	1.2422214311142756316
0.78787878787878784514, 	-0.13239707419017773815, 	1.2262426634958383254
0.7979797979797980112, 	-0.12008976985637126456, 	1.2106744001599352156
0.80808080808080806623, 	-0.10793753240136916283, 	1.1955434871089685167
0.81818181818181823228, 	-0.095935828877005302484, 	1.1808719723183391803
0.82828282828282828731, 	-0.084079926600958990179, 	1.166677407009031997
0.83838383838383834235, 	-0.072364936983551467198, 	1.1529731636142468432
0.8484848484848485084, 	-0.060785856088699088962, 	1.139768763340723412
0.85858585858585856343, 	-0.049337601864215582803, 	1.1270702071159064417
0.86868686868686872948, 	-0.038015048034876167127, 	1.1148803045996167338
0.87878787878787878451, 	-0.026813054701036037608, 	1.1031989967989610513
0.88888888888888883955, 	-0.015726495726495814953, 	1.0920236686390532022
0.8989898989898990056, 	-0.0047502830322927735995, 	1.0813494485963250913
0.90909090909090906063, 	0.0061206120612060654906, 	1.0711694931869424341
0.91919191919191922668, 	0.016891140282392538841, 	1.0614752547152979112
0.92929292929292928171, 	0.027566158471832108434, 	1.0522567312250752369
0.93939393939393944777, 	0.03815041607787726663, 	1.0435026980590083046
0.9494949494949495028, 	0.048648543897387139245, 	1.035200920826119475
0.95959595959595955783, 	0.059065044874136690689, 	1.027338349901316672
0.96969696969696972388, 	0.069404286770140433127, 	1.0199012968471148355
0.97979797979797977892, 	0.07967049653015864652, 	1.0128755933568165393
0.98989898989898994497, 	0.089867756166558884767, 	1.00624673347892446
1, 	0.099999999999999977796, 	1
